id,rfcd_l0_s_count,rfcd_l0_s_rate,rfcd_l1_s_count,rfcd_l1_s_rate,rfcd_l2_s_count,rfcd_l2_s_rate,seo_l0_s_count,seo_l0_s_rate,seo_l1_s_count,seo_l1_s_rate,seo_l2_s_count,seo_l2_s_rate,Dept.No._s_count_x,Dept.No._s_rate_x,Dept.No._s_count_y,Dept.No._s_rate_y,sponsor_s_count,sponsor_s_rate,grant_category_s_count,grant_category_s_rate
1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
7,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
13,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
14,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
15,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
16,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,,0,
17,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
18,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
19,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
21,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
23,0,,0,,0,,0,,0,,0,,1,1.0,1,1.0,0,,0,
24,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
25,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
26,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
27,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
28,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
29,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
30,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
32,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
33,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,0,,0,
34,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
35,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
36,1,1.0,1,1.0,0,,1,1.0,1,1.0,0,,1,1.0,1,1.0,0,,0,
37,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
38,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
39,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
40,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
