id,granted,sponsor,grant_category,grant_value,date
1,1,,,5000.0,2005-08-11
2,1,2B,10A,10000.0,2005-11-11
3,1,29A,10B,5000.0,2005-11-14
4,1,40D,10B,20000.0,2005-11-15
5,0,59C,10A,5000.0,2005-11-16
6,1,4D,10A,,2005-11-19
7,0,2B,10A,,2005-11-19
8,0,28D,30B,5000.0,2005-11-19
9,1,2B,10A,200000.0,2005-11-19
10,1,2B,10A,,2005-11-19
11,1,2B,10A,100000.0,2005-11-19
12,0,136D,30B,,2005-11-19
13,1,4D,10A,,2005-11-19
14,0,,,,2005-11-19
15,1,2B,10A,,2005-11-19
16,0,100D,10B,,2005-11-19
17,0,1A,10A,,2005-11-19
18,1,21A,50A,,2005-11-19
19,1,2B,10A,50000.0,2005-11-19
20,0,24D,30B,5000.0,2005-11-19
21,1,148D,30B,5000.0,2005-11-19
22,0,12D,30B,,2005-11-19
23,0,62B,10B,,2005-11-19
24,1,2B,10A,30000.0,2005-11-19
25,1,138B,30B,,2005-11-19
26,0,,,5000.0,2005-11-19
27,0,,,20000.0,2005-11-19
28,0,,,,2005-11-19
29,0,60D,30D,,2005-11-19
30,1,2B,10A,10000.0,2005-11-19
31,0,143C,30B,,2005-11-19
32,0,60D,30D,200000.0,2005-11-19
33,1,4D,10A,,2005-11-19
34,0,24D,30B,5000.0,2005-11-19
35,1,2B,10A,,2005-11-19
36,0,148D,30B,5000.0,2005-11-19
37,0,,,5000.0,2005-11-19
38,0,90B,30G,,2005-11-19
39,0,2B,10A,100000.0,2005-11-19
40,0,,,10000.0,2005-11-19
41,0,18B,20C,,2005-11-19
42,0,4D,10A,,2005-11-19
43,1,29A,10B,5000.0,2005-11-19
44,1,136D,30B,,2005-11-19
45,0,89A,30B,,2005-11-19
46,0,,,5000.0,2005-11-19
47,1,2B,10A,40000.0,2005-11-19
48,0,40D,10B,,2005-11-19
49,0,34B,30C,5000.0,2005-11-19
50,1,2B,10A,,2005-11-19
51,1,21A,50A,,2005-11-19
52,1,47C,10B,5000.0,2005-11-19
53,0,4D,20C,,2005-11-19
54,1,36D,10A,,2005-11-19
55,1,4D,10A,,2005-11-19
56,1,34B,30C,,2005-11-19
57,0,4D,20C,,2005-11-19
58,0,,,30000.0,2005-11-19
59,0,18B,20A,,2005-11-19
60,0,32D,30B,,2005-11-19
61,0,172D,30B,,2005-11-19
62,0,4D,10A,,2005-11-19
63,0,21A,50A,,2005-11-19
64,0,,,20000.0,2005-11-19
65,0,184D,30B,,2005-11-19
66,0,2B,10A,,2005-11-19
67,0,5A,30B,,2005-11-19
68,1,63C,20A,10000.0,2005-11-19
69,1,2B,10A,200000.0,2005-11-19
70,0,47C,10B,,2005-11-19
71,1,74B,30C,,2005-11-19
72,0,,,10000.0,2005-11-19
73,1,29A,10B,5000.0,2005-11-19
74,0,6B,30B,,2005-11-19
75,1,170B,30B,,2005-11-19
76,1,4D,10A,,2005-11-19
77,0,40D,30B,,2005-11-19
78,0,24D,30B,5000.0,2005-11-19
79,0,40D,30B,,2005-11-19
80,0,166B,10A,,2005-11-19
81,1,29A,10B,5000.0,2005-11-19
82,1,4D,10A,,2005-11-19
83,1,21A,50A,,2005-11-19
84,0,,,,2005-11-19
85,0,12D,30B,30000.0,2005-11-19
86,0,101A,30G,5000.0,2005-11-19
87,0,33A,20C,30000.0,2005-11-19
88,0,2B,10A,,2005-11-19
89,0,24D,30B,,2005-11-19
90,0,,,,2005-11-19
91,0,164D,10B,,2005-11-19
92,0,143C,30B,,2005-11-19
93,0,2B,10A,,2005-11-19
94,0,170B,30B,100000.0,2005-11-19
95,1,4D,10A,,2005-11-19
96,1,4D,10A,50000.0,2005-11-19
97,0,,,,2005-11-19
98,0,40D,10B,,2005-11-19
99,1,2B,10A,50000.0,2005-11-19
100,0,,,5000.0,2005-11-19
101,0,59C,10A,,2005-11-19
102,0,,,,2005-11-19
103,1,2B,10A,,2005-11-19
104,0,75C,10B,,2005-11-19
105,1,2B,10A,40000.0,2005-11-19
106,0,161A,30B,,2005-11-19
