,date,Person.ID,Faculty.No.,Dept.No.,With.PHD,years_in_uni,Number.of.Successful.Grant,Number.of.Unsuccessful.Grant,A.,A,B,C
0,2005-08-11,40572,31.0,3073.0,,0.0,0.0,0.0,4.0,2.0,0.0,0.0
1,2005-11-11,9067,25.0,2538.0,1.0,4.0,0.0,0.0,6.0,12.0,2.0,2.0
2,2005-11-14,5967,25.0,2923.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,2.0
3,2005-11-14,27307,25.0,2923.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2005-11-14,79652,25.0,2498.0,1.0,4.0,0.0,0.0,1.0,3.0,3.0,3.0
5,2005-11-14,11667,25.0,2548.0,,4.0,0.0,0.0,6.0,14.0,12.0,2.0
6,2005-11-15,78782,25.0,2678.0,1.0,2.0,0.0,0.0,0.0,3.0,13.0,3.0
7,2005-11-15,55337,25.0,2678.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2005-11-16,13042,19.0,2153.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0
9,2005-11-19,301472,25.0,2533.0,1.0,1.0,2.0,0.0,7.0,27.0,27.0,6.0
10,2005-11-19,74292,31.0,3028.0,1.0,3.0,0.0,0.0,8.0,5.0,2.0,0.0
11,2005-11-19,82602,31.0,3028.0,1.0,3.0,0.0,1.0,1.0,3.0,6.0,1.0
12,2005-11-19,79742,31.0,3028.0,,0.0,0.0,0.0,0.0,7.0,12.0,4.0
13,2005-11-19,1642,25.0,2563.0,,,0.0,3.0,0.0,0.0,0.0,0.0
14,2005-11-19,70212,25.0,2563.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2005-11-19,1012,31.0,3123.0,1.0,2.0,0.0,0.0,8.0,1.0,11.0,0.0
16,2005-11-19,80197,31.0,3123.0,1.0,2.0,2.0,1.0,6.0,0.0,5.0,0.0
17,2005-11-19,89462,,,,,0.0,0.0,1.0,0.0,0.0,0.0
18,2005-11-19,67272,31.0,3098.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0
19,2005-11-19,80037,31.0,3098.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2005-11-19,1797,25.0,2678.0,1.0,2.0,2.0,7.0,0.0,8.0,4.0,0.0
21,2005-11-19,73882,25.0,2713.0,,0.0,1.0,1.0,4.0,3.0,2.0,1.0
22,2005-11-19,38457,19.0,2153.0,,0.0,0.0,0.0,3.0,4.0,2.0,0.0
23,2005-11-19,132247,19.0,1998.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2005-11-19,9067,25.0,2538.0,1.0,4.0,3.0,3.0,6.0,12.0,2.0,2.0
25,2005-11-19,8067,19.0,1998.0,1.0,2.0,0.0,2.0,6.0,9.0,6.0,4.0
26,2005-11-19,80137,19.0,2163.0,1.0,4.0,0.0,0.0,1.0,5.0,1.0,0.0
27,2005-11-19,69482,25.0,2883.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0
28,2005-11-19,26882,25.0,2523.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0
29,2005-11-19,69517,34.0,1258.0,1.0,4.0,0.0,0.0,6.0,4.0,6.0,32.0
30,2005-11-19,66672,34.0,1258.0,1.0,3.0,2.0,0.0,16.0,15.0,13.0,15.0
31,2005-11-19,592577,25.0,2558.0,,,0.0,1.0,0.0,0.0,0.0,0.0
32,2005-11-19,15282,25.0,2713.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0
33,2005-11-19,25947,1.0,1038.0,,,1.0,1.0,0.0,0.0,0.0,0.0
34,2005-11-19,65807,25.0,2768.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2005-11-19,4902,19.0,2053.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0
36,2005-11-19,127447,19.0,2053.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2005-11-19,78947,25.0,2553.0,,0.0,1.0,1.0,0.0,3.0,3.0,1.0
38,2005-11-19,82567,25.0,2678.0,1.0,4.0,0.0,0.0,12.0,11.0,4.0,8.0
39,2005-11-19,36527,25.0,2653.0,,1.0,1.0,4.0,0.0,0.0,0.0,0.0
40,2005-11-19,16137,25.0,2653.0,,2.0,1.0,5.0,4.0,3.0,1.0,0.0
41,2005-11-19,20927,25.0,2578.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0
42,2005-11-19,3067,,,,,0.0,0.0,3.0,3.0,1.0,0.0
43,2005-11-19,51027,,,,,0.0,0.0,0.0,0.0,0.0,0.0
44,2005-11-19,15987,13.0,1623.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0
45,2005-11-19,43587,13.0,1623.0,,,3.0,0.0,0.0,2.0,0.0,0.0
46,2005-11-19,39817,7.0,653.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
47,2005-11-19,69032,25.0,2538.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0
48,2005-11-19,64842,25.0,2538.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2005-11-19,69262,25.0,2653.0,1.0,3.0,1.0,0.0,7.0,5.0,7.0,7.0
50,2005-11-19,28502,25.0,2603.0,1.0,1.0,0.0,0.0,6.0,3.0,5.0,2.0
51,2005-11-19,131432,25.0,2653.0,1.0,1.0,0.0,0.0,4.0,5.0,6.0,0.0
52,2005-11-19,35602,25.0,2653.0,1.0,1.0,1.0,0.0,9.0,5.0,5.0,4.0
53,2005-11-19,537,25.0,2653.0,1.0,3.0,2.0,0.0,9.0,9.0,13.0,2.0
54,2005-11-19,76432,25.0,2653.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2005-11-19,4247,46.0,2298.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,2005-11-19,5287,31.0,3123.0,1.0,1.0,2.0,1.0,8.0,3.0,1.0,0.0
57,2005-11-19,66887,25.0,2813.0,,0.0,1.0,2.0,0.0,5.0,2.0,0.0
58,2005-11-19,70662,31.0,3268.0,,0.0,1.0,1.0,0.0,3.0,0.0,0.0
59,2005-11-19,69812,25.0,2813.0,,2.0,1.0,5.0,10.0,7.0,9.0,1.0
60,2005-11-19,35382,19.0,2103.0,,0.0,0.0,1.0,4.0,9.0,0.0,0.0
61,2005-11-19,149767,25.0,2828.0,,,1.0,2.0,0.0,0.0,0.0,0.0
62,2005-11-19,63562,25.0,2523.0,,0.0,1.0,1.0,0.0,2.0,5.0,2.0
63,2005-11-19,71867,25.0,2578.0,1.0,3.0,3.0,1.0,7.0,19.0,26.0,13.0
64,2005-11-19,142457,25.0,2713.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0
65,2005-11-19,86672,25.0,2713.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
66,2005-11-19,8462,25.0,2713.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
67,2005-11-19,72037,25.0,2713.0,1.0,2.0,1.0,3.0,4.0,3.0,5.0,0.0
68,2005-11-19,78817,25.0,2713.0,1.0,4.0,2.0,0.0,4.0,8.0,6.0,2.0
69,2005-11-19,74162,25.0,2813.0,1.0,2.0,1.0,0.0,10.0,19.0,7.0,6.0
70,2005-11-19,67647,25.0,2678.0,1.0,2.0,1.0,6.0,9.0,8.0,8.0,4.0
71,2005-11-19,63492,25.0,2523.0,,0.0,0.0,1.0,1.0,0.0,9.0,4.0
72,2005-11-19,26877,31.0,3123.0,,2.0,0.0,0.0,0.0,2.0,4.0,1.0
73,2005-11-19,80212,31.0,3123.0,1.0,4.0,1.0,1.0,6.0,6.0,2.0,1.0
74,2005-11-19,119372,25.0,2813.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2005-11-19,491312,25.0,2563.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
76,2005-11-19,30977,31.0,3028.0,,0.0,1.0,0.0,10.0,8.0,8.0,9.0
77,2005-11-19,30457,25.0,2558.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0
78,2005-11-19,79802,31.0,3028.0,1.0,4.0,1.0,0.0,1.0,8.0,9.0,5.0
79,2005-11-19,10577,25.0,2653.0,,2.0,0.0,1.0,3.0,4.0,3.0,1.0
80,2005-11-19,727732,25.0,2603.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,2005-11-19,85642,31.0,3258.0,1.0,1.0,1.0,5.0,16.0,21.0,24.0,6.0
82,2005-11-19,65227,,,,,0.0,0.0,0.0,0.0,0.0,0.0
83,2005-11-19,82377,46.0,2298.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0
84,2005-11-19,46237,,,,,0.0,0.0,0.0,1.0,2.0,1.0
85,2005-11-19,9227,34.0,1258.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,3.0
86,2005-11-19,10662,34.0,1258.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0
87,2005-11-19,69147,25.0,2778.0,,2.0,0.0,1.0,1.0,1.0,0.0,2.0
88,2005-11-19,15187,31.0,3198.0,1.0,3.0,0.0,1.0,4.0,17.0,0.0,3.0
89,2005-11-19,43882,25.0,2768.0,1.0,1.0,0.0,5.0,3.0,4.0,2.0,1.0
90,2005-11-19,30017,25.0,2893.0,,1.0,0.0,0.0,0.0,7.0,9.0,3.0
91,2005-11-19,41202,,,,,0.0,0.0,0.0,0.0,0.0,0.0
92,2005-11-19,30527,25.0,2523.0,1.0,1.0,2.0,1.0,0.0,7.0,27.0,9.0
93,2005-11-19,64347,25.0,2893.0,,4.0,0.0,1.0,4.0,13.0,19.0,14.0
94,2005-11-19,1217,31.0,3028.0,1.0,4.0,2.0,0.0,16.0,13.0,8.0,0.0
95,2005-11-19,489582,31.0,3048.0,1.0,1.0,0.0,1.0,11.0,1.0,2.0,0.0
96,2005-11-19,76352,25.0,2523.0,1.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0
97,2005-11-19,649042,25.0,2523.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
98,2005-11-19,17367,25.0,2523.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,2.0
99,2005-11-19,79192,25.0,2523.0,1.0,4.0,1.0,2.0,31.0,35.0,14.0,2.0
100,2005-11-19,81067,4.0,3508.0,,4.0,1.0,1.0,1.0,5.0,0.0,2.0
101,2005-11-19,66657,25.0,2668.0,,0.0,0.0,0.0,10.0,4.0,2.0,0.0
102,2005-11-19,66902,1.0,1033.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0
103,2005-11-19,79057,25.0,2603.0,,2.0,1.0,0.0,2.0,2.0,1.0,0.0
104,2005-11-19,44697,25.0,2603.0,,1.0,2.0,0.0,1.0,1.0,0.0,0.0
105,2005-11-19,22972,25.0,2523.0,,0.0,0.0,1.0,0.0,2.0,1.0,3.0
106,2005-11-19,4222,25.0,2768.0,,3.0,0.0,2.0,9.0,11.0,4.0,2.0
107,2005-11-19,5967,25.0,2923.0,1.0,2.0,0.0,1.0,0.0,3.0,5.0,2.0
108,2005-11-19,27307,25.0,2923.0,,0.0,1.0,1.0,0.0,0.0,3.0,0.0
109,2005-11-19,79652,25.0,2498.0,1.0,4.0,0.0,0.0,1.0,3.0,3.0,3.0
110,2005-11-19,11667,25.0,2548.0,,4.0,0.0,0.0,6.0,14.0,12.0,2.0
111,2005-11-19,67842,25.0,2653.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2005-11-19,74302,25.0,2603.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0
113,2005-11-19,131257,25.0,2923.0,,,0.0,1.0,0.0,0.0,0.0,0.0
114,2005-11-19,56387,31.0,3268.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
115,2005-11-19,39632,25.0,2533.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0
116,2005-11-19,8012,1.0,1098.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
117,2005-11-19,12957,25.0,2603.0,1.0,2.0,1.0,6.0,10.0,6.0,8.0,1.0
