id,granted,sponsor,grant_category,grant_value,date,RFCD_23,RFCD_24,RFCD_25,RFCD_26,RFCD_27,RFCD_28,RFCD_29,RFCD_30,RFCD_31,RFCD_32,RFCD_33,RFCD_34,RFCD_35,RFCD_36,RFCD_37,RFCD_38,RFCD_39,RFCD_40,RFCD_41,RFCD_42,RFCD_43,RFCD_44,RFCD_OTHER,SEO_61,SEO_62,SEO_63,SEO_64,SEO_65,SEO_66,SEO_67,SEO_68,SEO_69,SEO_70,SEO_71,SEO_72,SEO_73,SEO_74,SEO_75,SEO_76,SEO_77,SEO_78,SEO_OTHER,EXT_CHIEF_INVESTIGATOR,STUDRES,STUD_CHIEF_INVESTIGATOR,mean_year_of_birth,max_year_of_birth,n_internals,Dept.No.,Faculty.No.,With.PHD,mean_years_in_uni,max_years_in_uni,Number.of.Successful.Grant,Number.of.Unsuccessful.Grant,A.,A,B,C,month,rfcd_l0_s_count,rfcd_l0_s_rate,rfcd_l1_s_count,rfcd_l1_s_rate,rfcd_l2_s_count,rfcd_l2_s_rate,seo_l0_s_count,seo_l0_s_rate,seo_l1_s_count,seo_l1_s_rate,seo_l2_s_count,seo_l2_s_rate,Dept.No._s_count,Dept.No._s_rate,Faculty.No._s_count,Faculty.No._s_rate,sponsor_s_count,sponsor_s_rate,grant_category_s_count,grant_category_s_rate
6641,0,89A,30B,5000.0,1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1962.5,1970.0,2,2578.0,25.0,2.0,3.0,4.0,5.0,2.0,7.0,6.0,6.0,4.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6647,0,24D,30B,10000.0,1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,,,1960.0,1975.0,3,2768.0,25.0,1.0,1.0,1.0,6.0,13.0,1.0,8.0,13.0,9.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6649,1,47C,10B,5000.0,1095,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,3.0,1967.5,1975.0,2,3198.0,31.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6650,1,32D,30B,5000.0,1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1945.0,1945.0,1,,,,,,0.0,0.0,1.0,8.0,3.0,2.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6655,1,4D,10A,100000.0,1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1955.0,1955.0,1,2853.0,25.0,,,,2.0,4.0,2.0,8.0,5.0,10.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6659,1,32D,30B,30000.0,1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1958.3333333333333,1975.0,3,2498.0,25.0,2.0,2.6666666666666665,4.0,6.0,3.0,17.0,35.0,17.0,7.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6662,1,4D,10A,20000.0,1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1,,,,,,,,,,,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6667,1,2B,10A,20000.0,1095,0.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,1.0,,,1967.5,1970.0,2,1098.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,18.0,3.0,0.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6671,1,172D,30B,5000.0,1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1955.0,1955.0,1,2813.0,25.0,,0.0,0.0,5.0,15.0,0.0,9.0,2.0,0.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6674,1,32D,30B,10000.0,1095,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,70.0,0.0,,,,1970.0,1970.0,1,2578.0,25.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6679,1,24D,30B,10000.0,1095,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1975.0,1975.0,1,2603.0,25.0,,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6682,1,75C,10B,5000.0,1095,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1950.0,1960.0,2,2553.0,25.0,1.0,4.0,4.0,0.0,1.0,6.0,5.0,1.0,5.0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
