Person.ID,Year.of.Birth,Country.of.Birth,Home.Language
5232,1955.0,Australia,
28797,1970.0,Australia,
22582,1975.0,Australia,English
80982,1945.0,,
70487,1955.0,Australia,
73942,1950.0,Australia,
60517,1965.0,Australia,
66887,1955.0,Australia,
497907,1970.0,Australia,
802167,1975.0,,
63757,1960.0,Great Britain,
16987,1965.0,Australia,
53202,1975.0,Australia,
68202,1935.0,Australia,
874467,1945.0,,
76352,1965.0,Australia,
730127,1980.0,Australia,
938937,1970.0,Asia Pacific,
63047,1945.0,,
69517,1950.0,Australia,English
11837,1950.0,Australia,
357,1960.0,Australia,
29807,1970.0,Australia,
14562,1950.0,Australia,
11322,1965.0,Australia,
4102,1955.0,Australia,
79802,1950.0,Australia,
67647,1965.0,Australia,
93802,1970.0,Australia,
7747,1975.0,Australia,
755517,1975.0,Western Europe,Other
16137,1950.0,Australia,
801752,1965.0,,
11322,1965.0,Australia,
77987,1960.0,Australia,
78992,1945.0,Australia,
28607,1965.0,Great Britain,
45012,1970.0,Australia,
69732,1950.0,Australia,
607102,1975.0,Asia Pacific,
82312,1950.0,Australia,
289542,1970.0,Australia,
44252,1960.0,Australia,
87202,1950.0,Australia,
80477,1950.0,South Africa,
60517,1965.0,Australia,
48902,1945.0,Australia,
13812,1975.0,Australia,
11837,1950.0,Australia,
63772,1960.0,Australia,
13682,1965.0,Western Europe,English
2232,1955.0,Australia,
20122,1965.0,Great Britain,
1737,1965.0,Australia,
69517,1950.0,Australia,English
132247,1960.0,Australia,
30707,1965.0,Middle East and Africa,
13192,1960.0,Western Europe,
113192,1965.0,Asia Pacific,
498427,1970.0,Great Britain,
700027,1970.0,Great Britain,
68252,1960.0,Australia,English
143992,1970.0,Australia,
500447,1955.0,Western Europe,
22847,1980.0,Australia,
362,1960.0,Australia,
36242,1965.0,Australia,
16632,1955.0,Australia,
49592,1955.0,Australia,
918527,1960.0,,
381382,1955.0,Australia,
22792,1955.0,Australia,
408232,1965.0,Australia,
953102,1975.0,,
73422,1960.0,Great Britain,
69732,1950.0,Australia,
64867,1945.0,Australia,
7862,1965.0,Australia,
80037,1950.0,Australia,
21132,1960.0,Australia,
84622,1955.0,Australia,
22792,1955.0,Australia,
16987,1965.0,Australia,
74827,1955.0,Australia,English
39807,1975.0,Australia,
713112,1975.0,,
75992,1965.0,Asia Pacific,
25117,1970.0,Australia,
9107,1965.0,Australia,
32437,1970.0,Australia,
803052,1970.0,,
72037,1970.0,Australia,
8732,1965.0,Australia,
7512,1960.0,Australia,
106282,1965.0,Asia Pacific,English
26667,1965.0,Australia,
148087,1950.0,Australia,
20937,1970.0,Australia,
89627,1975.0,Australia,
132927,1970.0,Australia,
127397,1975.0,Australia,
65712,1950.0,Western Europe,
36402,1975.0,,
144267,1970.0,Australia,
1737,1965.0,Australia,
101532,1960.0,Australia,
76352,1965.0,Australia,
78922,1955.0,Australia,
24627,1965.0,Asia Pacific,
7862,1965.0,Australia,
941027,1960.0,Australia,
3182,1965.0,Australia,
76757,1975.0,Australia,
34127,1960.0,Australia,
113192,1965.0,Asia Pacific,
415187,1965.0,Australia,
111192,1965.0,Western Europe,Other
66007,1955.0,Australia,
122322,1970.0,,
149107,1975.0,Australia,English
54737,1975.0,Australia,English
33557,1955.0,Australia,
31067,1960.0,Great Britain,
65712,1950.0,Western Europe,
77582,1960.0,Australia,
17342,1960.0,Australia,
71867,1945.0,Australia,
72037,1970.0,Australia,
60517,1965.0,Australia,
28342,1960.0,Australia,
7597,1955.0,Eastern Europe,English
952677,1975.0,Asia Pacific,
11612,1960.0,Australia,
142457,1970.0,Australia,
5222,1940.0,Australia,
636867,1950.0,Australia,
45967,1975.0,Australia,
984172,1980.0,,
39457,1960.0,Australia,
71727,1955.0,Great Britain,English
36452,1965.0,Australia,
16137,1950.0,Australia,
23872,1975.0,Australia,
5967,1955.0,Australia,
65342,1955.0,Great Britain,
3182,1965.0,Australia,
54737,1975.0,Australia,English
129752,1965.0,Australia,
938787,1970.0,Asia Pacific,
65712,1950.0,Western Europe,
67282,1965.0,Australia,
65767,1970.0,Australia,
74162,1970.0,Australia,
71867,1945.0,Australia,
147717,1965.0,Great Britain,
72037,1970.0,Australia,
14547,1970.0,Australia,
67282,1965.0,Australia,
877722,1975.0,,
10387,1950.0,Australia,
7947,1960.0,Asia Pacific,
941662,1975.0,Asia Pacific,
778842,1975.0,Asia Pacific,
135032,1970.0,New Zealand,
87147,1970.0,Australia,
877722,1975.0,,
938657,1980.0,,
945737,1965.0,Asia Pacific,
909457,1980.0,Asia Pacific,
718607,1975.0,The Americas,Other
923187,1980.0,Australia,
916022,1975.0,Australia,
896767,1975.0,Eastern Europe,
936352,1980.0,,
85862,1950.0,Western Europe,
127397,1975.0,Australia,
110517,1980.0,Australia,
8772,1965.0,Australia,
76022,1965.0,Australia,
138567,1980.0,Australia,
786607,1955.0,Australia,
889197,1975.0,Great Britain,
607102,1975.0,Asia Pacific,
78827,1950.0,Australia,
946327,1975.0,Great Britain,
36737,1980.0,Australia,
15242,1980.0,Asia Pacific,
620592,1980.0,Asia Pacific,
92307,1960.0,Australia,
752162,1960.0,Australia,
941662,1975.0,Asia Pacific,
7862,1965.0,Australia,
98212,1965.0,Australia,
127447,1970.0,Australia,
889197,1975.0,Great Britain,
72432,1955.0,Australia,
9857,1960.0,Asia Pacific,
1797,1960.0,North America,
82892,1970.0,Western Europe,
1797,1960.0,North America,
66487,1960.0,Australia,
63047,1945.0,,
421337,1955.0,Australia,
26962,1970.0,Great Britain,
42107,1975.0,Australia,
18832,1975.0,Great Britain,English
70362,1955.0,,
87147,1970.0,Australia,
76022,1965.0,Australia,
612,1960.0,Australia,
64342,1950.0,Australia,
70452,1955.0,Australia,
74512,1945.0,Australia,
75412,1950.0,Western Europe,
34737,1970.0,North America,
35512,1970.0,Australia,
139962,1970.0,Australia,English
41912,1960.0,Eastern Europe,
130642,1965.0,Australia,
718607,1975.0,The Americas,Other
599267,1970.0,Australia,
90572,1965.0,Australia,
13682,1965.0,Western Europe,English
81702,1955.0,New Zealand,
123092,1970.0,Western Europe,
255582,1975.0,Australia,English
612,1960.0,Australia,
5882,1955.0,Australia,
54322,1960.0,Eastern Europe,
132222,1965.0,Western Europe,Other
8012,1960.0,Western Europe,
23912,1965.0,Australia,
15162,1965.0,Australia,
63452,1950.0,Great Britain,
31672,1965.0,Australia,
612312,1980.0,,
704062,1945.0,Australia,
82092,1945.0,Australia,English
15532,1960.0,,
11282,1945.0,Eastern Europe,
147502,1970.0,Great Britain,English
8867,1960.0,Australia,
44782,1955.0,Western Europe,
8012,1960.0,Western Europe,
938657,1980.0,,
132957,1965.0,Australia,
76807,1965.0,Australia,
137542,1965.0,Australia,
11907,1955.0,Australia,Other
315992,1975.0,Australia,
81642,1945.0,Australia,
77922,1955.0,Asia Pacific,
79712,1955.0,Australia,English
5852,1950.0,Australia,
82512,1955.0,Asia Pacific,
67097,1960.0,Australia,
72722,1955.0,Australia,English
28412,1960.0,Australia,
18757,1955.0,Asia Pacific,
135027,1960.0,Asia Pacific,
697707,1970.0,Western Europe,
398112,1975.0,Great Britain,
63437,1940.0,Australia,
62967,1950.0,Australia,
135027,1960.0,Asia Pacific,
101532,1960.0,Australia,
131432,1965.0,Australia,
25207,1970.0,Australia,
897272,1980.0,Australia,
1012,1945.0,Australia,English
95677,1945.0,Australia,
123547,1980.0,Australia,
178022,1975.0,Australia,
755517,1975.0,Western Europe,Other
813567,1970.0,,
9412,1970.0,Australia,
907227,1970.0,,
66887,1955.0,Australia,
636757,1975.0,Australia,
1090867,1980.0,,
64662,1955.0,Australia,
44252,1960.0,Australia,
82172,1950.0,Great Britain,
82502,1960.0,Australia,
808267,1975.0,Australia,
18377,1960.0,Australia,
22097,1960.0,Australia,
105342,1965.0,Australia,
