id,granted,sponsor,grant_category,grant_value,date
1,1,2B,10A,5000.0,8/11/05
2,1,2B,10A,10000.0,11/11/05
3,1,29A,10B,5000.0,14/11/05
4,1,40D,10B,20000.0,15/11/05
5,0,59C,10A,5000.0,16/11/05
6,1,4D,10A,5000.0,19/11/05
7,0,2B,10A,100000.0,19/11/05
8,0,28D,30B,5000.0,19/11/05
9,1,2B,10A,200000.0,19/11/05
10,1,2B,10A,5000.0,19/11/05
11,1,2B,10A,100000.0,19/11/05
12,0,136D,30B,5000.0,19/11/05
13,1,4D,10A,5000.0,19/11/05
14,0,2B,30B,50000.0,19/11/05
15,1,2B,10A,30000.0,19/11/05
16,0,100D,10B,5000.0,19/11/05
17,0,1A,10A,40000.0,19/11/05
18,1,21A,50A,5000.0,19/11/05
19,1,2B,10A,50000.0,19/11/05
20,0,24D,30B,5000.0,19/11/05
21,1,148D,30B,5000.0,19/11/05
22,0,12D,30B,5000.0,19/11/05
23,0,62B,10B,500000.0,19/11/05
24,1,2B,10A,30000.0,19/11/05
25,1,other,30B,5000.0,19/11/05
26,0,188D,50A,5000.0,19/11/05
27,0,4D,30B,20000.0,19/11/05
28,0,149A,30B,40000.0,19/11/05
29,0,60D,30D,5000.0,19/11/05
30,1,2B,10A,10000.0,19/11/05
31,0,143C,30B,5000.0,19/11/05
32,0,60D,30D,200000.0,19/11/05
33,1,4D,10A,20000.0,19/11/05
34,0,24D,30B,5000.0,19/11/05
35,1,2B,10A,100000.0,19/11/05
36,0,148D,30B,5000.0,19/11/05
37,0,4D,10A,5000.0,19/11/05
38,0,90B,30G,50000.0,19/11/05
39,0,2B,10A,100000.0,19/11/05
40,0,4D,30B,10000.0,19/11/05
41,0,18B,20C,5000.0,19/11/05
42,0,4D,10A,5000.0,19/11/05
43,1,29A,10B,5000.0,19/11/05
44,1,136D,30B,5000.0,19/11/05
45,0,89A,30B,10000.0,19/11/05
46,0,4D,10B,5000.0,19/11/05
47,1,2B,10A,40000.0,19/11/05
48,0,40D,10B,200000.0,19/11/05
49,0,34B,30C,5000.0,19/11/05
50,1,2B,10A,30000.0,19/11/05
51,1,21A,50A,50000.0,19/11/05
52,1,47C,10B,5000.0,19/11/05
53,0,4D,20C,20000.0,19/11/05
54,1,36D,10A,5000.0,19/11/05
55,1,4D,10A,10000.0,19/11/05
56,1,34B,30C,5000.0,19/11/05
57,0,4D,20C,5000.0,19/11/05
58,0,21A,10A,30000.0,19/11/05
59,0,18B,20A,100000.0,19/11/05
60,0,32D,30B,5000.0,19/11/05
61,0,172D,30B,30000.0,19/11/05
62,0,4D,10A,5000.0,19/11/05
63,0,21A,50A,20000.0,19/11/05
64,0,13A,30B,20000.0,19/11/05
65,0,other,30B,5000.0,19/11/05
66,0,2B,10A,30000.0,19/11/05
67,0,5A,30B,5000.0,19/11/05
68,1,63C,20A,10000.0,19/11/05
69,1,2B,10A,200000.0,19/11/05
70,0,47C,10B,5000.0,19/11/05
71,1,other,30C,50000.0,19/11/05
72,0,149A,30B,10000.0,19/11/05
73,1,29A,10B,5000.0,19/11/05
74,0,6B,30B,200000.0,19/11/05
75,1,other,30B,5000.0,19/11/05
76,1,4D,10A,20000.0,19/11/05
77,0,40D,30B,5000.0,19/11/05
78,0,24D,30B,5000.0,19/11/05
79,0,40D,30B,100000.0,19/11/05
80,0,166B,10A,40000.0,19/11/05
81,1,29A,10B,5000.0,19/11/05
82,1,4D,10A,100000.0,19/11/05
83,1,21A,50A,5000.0,19/11/05
84,0,4D,30B,30000.0,19/11/05
85,0,12D,30B,30000.0,19/11/05
86,0,101A,30G,5000.0,19/11/05
87,0,33A,20C,30000.0,19/11/05
88,0,2B,10A,5000.0,19/11/05
89,0,24D,30B,5000.0,19/11/05
90,0,179C,20C,10000.0,19/11/05
91,0,other,10B,5000.0,19/11/05
92,0,143C,30B,5000.0,19/11/05
93,0,2B,10A,5000.0,19/11/05
94,0,other,30B,100000.0,19/11/05
95,1,4D,10A,5000.0,19/11/05
96,1,4D,10A,50000.0,19/11/05
97,0,47C,30B,5000.0,19/11/05
98,0,40D,10B,5000.0,19/11/05
99,1,2B,10A,50000.0,19/11/05
100,0,2B,20A,5000.0,19/11/05
101,0,59C,10A,5000.0,19/11/05
102,0,59C,30B,10000.0,19/11/05
103,1,2B,10A,20000.0,19/11/05
104,0,75C,10B,5000.0,19/11/05
105,1,2B,10A,40000.0,19/11/05
106,0,other,30B,20000.0,19/11/05
107,1,40D,30B,10000.0,19/11/05
108,0,other,30B,5000.0,19/11/05
109,0,62B,10B,30000.0,19/11/05
110,1,4D,10A,50000.0,19/11/05
111,1,21A,50A,5000.0,19/11/05
112,0,2B,10A,20000.0,19/11/05
113,0,40D,10B,5000.0,19/11/05
114,0,143C,30B,5000.0,19/11/05
115,1,4D,10A,5000.0,19/11/05
116,1,2B,10A,10000.0,19/11/05
117,1,4D,10A,20000.0,19/11/05
118,0,9A,10A,5000.0,19/11/05
119,0,21A,10A,5000.0,19/11/05
120,0,24D,30B,5000.0,19/11/05
121,0,4D,10A,50000.0,19/11/05
122,1,126B,10A,10000.0,19/11/05
123,1,4D,10A,100000.0,19/11/05
124,1,4D,10A,50000.0,19/11/05
125,1,149A,30B,5000.0,19/11/05
126,0,24D,10B,100000.0,19/11/05
127,0,77A,10A,5000.0,19/11/05
128,1,2B,10A,50000.0,19/11/05
129,0,6B,10A,50000.0,19/11/05
130,0,89A,30B,5000.0,19/11/05
131,0,24D,30B,5000.0,19/11/05
132,1,2B,10A,200000.0,19/11/05
133,1,53A,30B,5000.0,19/11/05
134,0,40D,10B,30000.0,19/11/05
135,1,205A,10A,500000.0,19/11/05
136,0,51C,10A,200000.0,19/11/05
137,0,4D,20C,5000.0,19/11/05
138,0,21A,50A,10000.0,19/11/05
139,1,47C,10B,5000.0,19/11/05
140,1,4D,10A,50000.0,19/11/05
141,0,34B,30C,40000.0,19/11/05
142,0,2B,10A,30000.0,19/11/05
143,0,136D,10A,5000.0,19/11/05
144,0,other,10B,10000.0,19/11/05
145,1,4D,10A,10000.0,19/11/05
146,0,34B,30C,5000.0,19/11/05
147,0,2B,10A,40000.0,19/11/05
148,0,24D,30B,20000.0,19/11/05
149,0,4D,10A,10000.0,19/11/05
150,0,97A,30B,5000.0,19/11/05
151,0,24D,30B,10000.0,19/11/05
152,0,4D,10A,5000.0,19/11/05
153,0,other,30B,5000.0,19/11/05
154,0,62B,10B,5000.0,19/11/05
155,0,40D,30B,50000.0,19/11/05
156,1,172D,30B,5000.0,19/11/05
157,0,40D,10B,20000.0,19/11/05
158,0,4D,10A,5000.0,19/11/05
159,1,51C,20C,5000.0,19/11/05
160,0,32D,30D,5000.0,19/11/05
161,0,27C,30B,5000.0,19/11/05
162,0,24D,30B,5000.0,19/11/05
163,0,4D,10A,5000.0,19/11/05
164,1,4D,10A,20000.0,19/11/05
165,1,4D,10A,10000.0,19/11/05
166,1,other,30E,5000.0,19/11/05
167,1,1A,10A,20000.0,19/11/05
168,0,34B,30C,5000.0,19/11/05
169,1,2B,10A,5000.0,19/11/05
170,1,34B,30C,5000.0,19/11/05
171,1,149A,30B,5000.0,19/11/05
172,0,135C,30G,10000.0,19/11/05
173,0,65A,30B,20000.0,19/11/05
174,1,4D,10A,100000.0,19/11/05
175,1,33A,20C,20000.0,19/11/05
176,1,21A,50A,10000.0,19/11/05
177,0,143C,30B,5000.0,19/11/05
178,1,148D,30B,5000.0,19/11/05
179,1,51C,10B,10000.0,19/11/05
180,1,36D,10A,5000.0,19/11/05
181,1,40D,30B,5000.0,19/11/05
182,0,24D,30B,5000.0,19/11/05
183,0,42B,20A,30000.0,19/11/05
184,0,21A,50A,5000.0,19/11/05
185,0,4D,20C,30000.0,19/11/05
186,0,4D,10A,30000.0,19/11/05
187,1,29A,10B,5000.0,19/11/05
188,1,34B,30C,5000.0,19/11/05
189,0,87C,30G,40000.0,19/11/05
190,1,2B,10A,5000.0,19/11/05
191,0,47C,10B,20000.0,19/11/05
192,0,33A,20C,30000.0,19/11/05
193,0,4D,20C,10000.0,19/11/05
194,0,89A,30B,5000.0,19/11/05
195,0,62B,10B,10000.0,19/11/05
196,0,24D,30B,5000.0,19/11/05
197,1,2B,10A,20000.0,19/11/05
198,0,other,20C,5000.0,19/11/05
199,0,4D,20C,5000.0,19/11/05
200,0,5A,30B,5000.0,19/11/05
201,0,2B,30B,20000.0,19/11/05
202,1,2B,10A,100000.0,19/11/05
203,1,95C,30B,5000.0,19/11/05
204,0,2B,10A,5000.0,19/11/05
205,1,2B,10A,20000.0,19/11/05
206,0,2B,10A,10000.0,19/11/05
207,1,2B,10A,300000.0,19/11/05
208,0,103C,30B,5000.0,19/11/05
209,0,other,20C,5000.0,19/11/05
210,1,133A,30E,10000.0,19/11/05
211,0,62B,10B,30000.0,19/11/05
212,0,4D,10A,20000.0,19/11/05
213,0,24D,30B,50000.0,19/11/05
214,1,18B,20A,100000.0,19/11/05
215,1,4D,10A,10000.0,19/11/05
216,0,other,30B,5000.0,19/11/05
217,0,47C,10B,5000.0,19/11/05
218,0,60D,30D,30000.0,19/11/05
219,1,6B,30B,5000.0,19/11/05
220,1,2B,10A,5000.0,19/11/05
221,1,34B,30C,5000.0,19/11/05
222,1,21A,50A,10000.0,19/11/05
223,0,other,30B,5000.0,19/11/05
224,0,77A,10A,5000.0,19/11/05
225,0,2B,10A,20000.0,19/11/05
226,0,other,30B,40000.0,19/11/05
227,1,29A,10B,5000.0,19/11/05
228,0,6B,30B,30000.0,19/11/05
229,0,83C,30B,5000.0,19/11/05
230,0,other,30G,5000.0,19/11/05
231,1,75C,10B,5000.0,19/11/05
232,1,4D,10A,50000.0,19/11/05
233,1,2B,10A,30000.0,19/11/05
234,1,4D,10A,40000.0,19/11/05
235,0,89A,30B,5000.0,19/11/05
236,0,24D,30B,20000.0,19/11/05
237,1,2B,10A,200000.0,19/11/05
238,0,33A,20C,20000.0,19/11/05
239,0,90B,30D,5000.0,19/11/05
240,0,59C,20C,5000.0,19/11/05
241,0,75C,10B,5000.0,19/11/05
242,0,4D,10A,5000.0,19/11/05
243,1,4D,10A,5000.0,19/11/05
244,0,24D,30B,20000.0,19/11/05
245,1,47C,10B,100000.0,19/11/05
246,1,2B,10A,200000.0,19/11/05
247,1,34B,30C,5000.0,19/11/05
248,0,21A,10B,5000.0,19/11/05
249,1,2B,10A,40000.0,19/11/05
250,1,75C,10B,5000.0,19/11/05
251,0,4D,20C,100000.0,19/11/05
252,1,2B,10A,20000.0,19/11/05
253,0,4D,10A,20000.0,19/11/05
254,1,2B,10A,5000.0,19/11/05
255,0,33A,20C,30000.0,19/11/05
256,0,24D,30B,5000.0,19/11/05
257,1,4D,10A,5000.0,19/11/05
258,1,4D,10A,5000.0,19/11/05
259,0,47C,30B,30000.0,19/11/05
260,1,40D,30B,5000.0,19/11/05
