id,SEO.Code,SEO.Percentage
6641,73,100.0
6647,75,100.0
6649,78,100.0
6650,73,100.0
6655,73,100.0
6659,73,100.0
6662,73,100.0
6667,77,70.0
6667,78,30.0
6671,73,100.0
6674,73,30.0
6674,78,70.0
6679,73,100.0
6682,73,100.0
6683,67,10.0
6683,73,40.0
6683,78,50.0
6687,73,100.0
6688,71,20.0
6688,76,80.0
6694,66,50.0
6694,67,50.0
6704,73,100.0
6706,73,100.0
6710,73,100.0
6711,73,100.0
6716,78,100.0
6717,73,35.0
6717,76,30.0
6717,77,35.0
6718,73,80.0
6718,77,20.0
6720,73,100.0
6723,75,100.0
6724,73,100.0
6727,62,100.0
6733,73,100.0
6736,73,100.0
6738,73,100.0
6739,73,60.0
6739,78,40.0
6741,73,100.0
6747,73,100.0
6749,73,100.0
6750,75,80.0
6750,78,20.0
6754,73,100.0
6755,73,100.0
6758,73,100.0
6763,73,100.0
6773,76,100.0
6776,67,100.0
6778,66,100.0
6783,73,100.0
6784,73,100.0
6791,75,100.0
6796,63,80.0
6796,76,20.0
6804,66,30.0
6804,77,70.0
6809,77,50.0
6809,78,50.0
6810,67,80.0
6810,75,20.0
6812,77,100.0
6814,75,100.0
6821,67,80.0
6821,73,20.0
6825,73,100.0
6827,73,80.0
6827,74,20.0
6855,73,100.0
6856,77,100.0
6857,66,40.0
6857,68,60.0
6863,73,100.0
6866,74,100.0
6867,75,100.0
6868,73,100.0
6872,62,100.0
6875,75,100.0
6878,70,100.0
6880,72,100.0
6884,68,100.0
6887,74,100.0
6890,73,100.0
6892,73,100.0
6895,77,100.0
6897,74,100.0
6903,71,100.0
6908,63,100.0
6909,73,100.0
6911,73,100.0
6913,67,100.0
6914,76,40.0
6914,77,60.0
6917,78,100.0
6923,73,100.0
6924,64,40.0
6924,78,60.0
6926,71,10.0
6926,78,90.0
6936,73,100.0
6939,73,100.0
6943,75,100.0
6944,73,90.0
6944,78,10.0
6945,73,100.0
6946,73,100.0
6949,73,100.0
6956,67,20.0
6956,73,75.0
6956,78,5.0
6957,67,20.0
6957,73,80.0
6961,67,50.0
6961,73,50.0
6962,73,100.0
6965,73,100.0
6970,73,100.0
6979,67,70.0
6979,73,30.0
6982,73,50.0
6982,78,50.0
6984,73,100.0
6986,73,100.0
6990,73,100.0
6992,73,100.0
6993,67,20.0
6993,73,80.0
6998,73,100.0
7003,73,100.0
7004,73,100.0
7012,73,90.0
7012,78,10.0
7014,73,100.0
7020,73,100.0
7026,73,100.0
7031,73,100.0
7044,73,100.0
7045,67,50.0
7045,73,50.0
7046,73,100.0
7054,73,100.0
7056,73,100.0
7057,73,100.0
7061,73,100.0
7076,73,100.0
7079,75,100.0
7080,75,100.0
7082,73,100.0
7083,77,100.0
7086,77,100.0
7095,75,100.0
7098,73,100.0
7102,77,100.0
7105,73,67.0
7105,75,33.0
7111,69,50.0
7111,71,50.0
7129,73,100.0
7131,73,100.0
7139,73,100.0
7140,73,100.0
7145,77,100.0
7146,67,40.0
7146,73,60.0
7147,78,100.0
7148,77,100.0
7151,68,30.0
7151,71,35.0
7151,72,35.0
7155,73,100.0
7158,77,100.0
7159,62,70.0
7159,78,30.0
7174,73,100.0
7178,77,100.0
7179,78,100.0
7180,70,100.0
7181,73,100.0
7184,62,30.0
7184,77,70.0
7190,73,100.0
7191,73,100.0
7192,73,100.0
7197,63,100.0
7202,75,100.0
7208,73,100.0
7211,73,100.0
7213,73,100.0
7216,73,100.0
7217,73,100.0
7220,73,100.0
7223,73,100.0
7233,73,100.0
7236,75,100.0
7249,73,100.0
7267,73,100.0
7289,67,60.0
7289,73,40.0
7304,68,20.0
7304,71,30.0
7304,77,50.0
7310,74,100.0
7313,73,100.0
7314,73,100.0
7317,70,80.0
7317,71,20.0
7318,73,100.0
7319,70,40.0
7319,73,10.0
7319,78,50.0
7323,68,80.0
7323,70,20.0
7324,73,100.0
7328,74,60.0
7328,75,40.0
7330,72,100.0
7331,73,100.0
7333,67,100.0
7335,73,100.0
7343,73,100.0
7346,73,100.0
7349,77,100.0
7354,73,100.0
7357,68,50.0
7357,77,50.0
7361,73,100.0
7367,67,50.0
7367,78,50.0
7368,73,100.0
7386,73,100.0
7391,69,50.0
7391,70,50.0
7393,73,100.0
7396,70,80.0
7396,73,20.0
7400,74,60.0
7400,75,40.0
7403,74,100.0
7404,73,100.0
7421,73,100.0
7426,66,60.0
7426,67,40.0
7428,73,100.0
7431,67,20.0
7431,68,20.0
7431,70,60.0
7433,67,60.0
7433,78,40.0
7434,67,20.0
7434,73,80.0
7438,68,20.0
7438,78,80.0
7445,67,50.0
7445,78,50.0
7446,78,100.0
7450,77,100.0
7452,73,100.0
7453,63,100.0
7456,73,100.0
7457,73,100.0
7468,73,100.0
7478,77,100.0
7490,64,20.0
7490,78,80.0
7492,75,100.0
7503,75,100.0
7504,75,100.0
7505,68,100.0
7512,78,100.0
7515,75,100.0
7523,78,100.0
7530,65,20.0
7530,68,80.0
7533,70,100.0
7536,68,100.0
7537,72,20.0
7537,74,40.0
7537,75,40.0
7538,70,100.0
7539,67,40.0
7539,73,60.0
7544,78,100.0
7550,62,60.0
7550,74,20.0
7550,78,20.0
7562,70,100.0
7571,64,70.0
7571,78,30.0
7576,75,100.0
7582,73,100.0
7590,78,100.0
7596,62,40.0
7596,77,60.0
7598,75,100.0
7602,78,100.0
7603,72,30.0
7603,75,70.0
7620,70,100.0
7625,78,100.0
7628,75,100.0
7632,75,100.0
7639,75,100.0
7645,75,100.0
7646,70,100.0
7655,65,50.0
7655,77,50.0
7656,75,100.0
7672,62,70.0
7672,78,30.0
7675,70,100.0
7676,73,30.0
7676,78,70.0
7678,75,100.0
7680,75,30.0
7680,76,40.0
7680,77,30.0
7686,62,30.0
7686,71,40.0
7686,77,30.0
7687,71,100.0
7689,74,50.0
7689,78,50.0
7693,75,100.0
7695,78,100.0
7702,70,50.0
7702,73,50.0
7703,63,100.0
7714,67,30.0
7714,73,70.0
7718,75,100.0
7720,68,100.0
7721,70,100.0
7724,75,100.0
7726,75,100.0
7730,75,100.0
7736,75,100.0
7743,75,100.0
7744,75,100.0
7746,75,100.0
7749,73,100.0
7752,70,50.0
7752,78,50.0
7754,73,30.0
7754,75,70.0
7755,78,100.0
7759,78,100.0
7768,62,50.0
7768,73,50.0
7771,73,100.0
7772,73,100.0
7773,73,100.0
7775,73,100.0
7776,73,100.0
7780,73,100.0
7790,73,100.0
7791,73,100.0
7792,73,100.0
7799,75,100.0
7800,73,100.0
7807,70,100.0
7815,73,100.0
7817,67,100.0
7818,73,100.0
7819,73,100.0
7826,73,100.0
7830,73,100.0
7831,73,100.0
7832,74,100.0
7835,73,100.0
7842,73,100.0
7844,73,100.0
7846,73,100.0
7850,67,20.0
7850,73,80.0
7852,73,100.0
7859,73,100.0
7862,73,100.0
7866,72,30.0
7866,73,70.0
7867,73,100.0
7868,73,100.0
7881,73,100.0
7886,78,100.0
7888,63,40.0
7888,77,60.0
7901,73,100.0
7904,62,40.0
