,Grant.Application.ID,SEO.Code,variable,value
0,1,700299.0,SEO.Percentage.1,100.0
1,2,700103.0,SEO.Percentage.1,50.0
2,2,700102.0,SEO.Percentage.2,50.0
3,3,730105.0,SEO.Percentage.1,60.0
4,3,730207.0,SEO.Percentage.2,40.0
5,4,730201.0,SEO.Percentage.2,30.0
6,4,730106.0,SEO.Percentage.1,70.0
7,5,770199.0,SEO.Percentage.1,100.0
8,6,730211.0,SEO.Percentage.1,100.0
9,7,770703.0,SEO.Percentage.1,60.0
10,7,770706.0,SEO.Percentage.2,40.0
11,8,730303.0,SEO.Percentage.1,100.0
12,9,780104.0,SEO.Percentage.1,100.0
13,10,770502.0,SEO.Percentage.2,40.0
14,10,770503.0,SEO.Percentage.1,60.0
15,11,740301.0,SEO.Percentage.1,100.0
16,12,730106.0,SEO.Percentage.1,30.0
17,12,730116.0,SEO.Percentage.3,20.0
18,12,730115.0,SEO.Percentage.2,50.0
19,13,730104.0,SEO.Percentage.1,100.0
20,14,730199.0,SEO.Percentage.1,100.0
21,15,700102.0,SEO.Percentage.2,50.0
22,15,700103.0,SEO.Percentage.1,50.0
23,16,730111.0,SEO.Percentage.1,100.0
24,17,730204.0,SEO.Percentage.2,33.0
25,17,730215.0,SEO.Percentage.3,34.0
26,17,730116.0,SEO.Percentage.1,33.0
27,18,740301.0,SEO.Percentage.3,34.0
28,18,759900.0,SEO.Percentage.1,33.0
29,18,770802.0,SEO.Percentage.2,33.0
30,19,780105.0,SEO.Percentage.1,100.0
31,20,730211.0,SEO.Percentage.1,100.0
32,21,730105.0,SEO.Percentage.2,30.0
33,21,730108.0,SEO.Percentage.1,40.0
34,21,730115.0,SEO.Percentage.3,30.0
35,22,759999.0,SEO.Percentage.1,100.0
36,23,730211.0,SEO.Percentage.1,100.0
37,24,671403.0,SEO.Percentage.1,40.0
38,24,671401.0,SEO.Percentage.3,30.0
39,24,671402.0,SEO.Percentage.2,30.0
40,25,740301.0,SEO.Percentage.1,100.0
41,28,730108.0,SEO.Percentage.1,80.0
42,28,780105.0,SEO.Percentage.2,20.0
43,29,730106.0,SEO.Percentage.1,100.0
44,30,720403.0,SEO.Percentage.1,60.0
45,30,750101.0,SEO.Percentage.2,40.0
46,31,750901.0,SEO.Percentage.2,20.0
47,31,750802.0,SEO.Percentage.1,80.0
48,32,730104.0,SEO.Percentage.1,100.0
49,33,670502.0,SEO.Percentage.1,25.0
50,33,730211.0,SEO.Percentage.4,25.0
51,33,730104.0,SEO.Percentage.2,25.0
52,33,730203.0,SEO.Percentage.3,25.0
53,34,740102.0,SEO.Percentage.3,20.0
54,34,740201.0,SEO.Percentage.1,40.0
55,34,740401.0,SEO.Percentage.2,40.0
56,35,780104.0,SEO.Percentage.1,60.0
57,35,770101.0,SEO.Percentage.2,40.0
58,36,730105.0,SEO.Percentage.1,100.0
59,37,630104.0,SEO.Percentage.1,100.0
60,38,730105.0,SEO.Percentage.1,100.0
61,39,770202.0,SEO.Percentage.2,50.0
62,39,770802.0,SEO.Percentage.1,50.0
63,40,730114.0,SEO.Percentage.1,100.0
64,41,730201.0,SEO.Percentage.1,50.0
65,41,730399.0,SEO.Percentage.2,50.0
66,42,730213.0,SEO.Percentage.3,20.0
67,42,730104.0,SEO.Percentage.2,40.0
68,42,730000.0,SEO.Percentage.1,40.0
69,43,730105.0,SEO.Percentage.1,40.0
70,43,730106.0,SEO.Percentage.2,60.0
71,44,730105.0,SEO.Percentage.1,100.0
72,45,730107.0,SEO.Percentage.1,50.0
73,45,730203.0,SEO.Percentage.2,50.0
74,46,730204.0,SEO.Percentage.3,20.0
75,46,730201.0,SEO.Percentage.1,40.0
76,46,751004.0,SEO.Percentage.2,40.0
77,47,770101.0,SEO.Percentage.3,20.0
78,47,770102.0,SEO.Percentage.2,30.0
79,47,770103.0,SEO.Percentage.1,50.0
80,48,730106.0,SEO.Percentage.1,100.0
81,49,730217.0,SEO.Percentage.1,100.0
82,50,780105.0,SEO.Percentage.1,100.0
83,51,630106.0,SEO.Percentage.1,90.0
84,51,730216.0,SEO.Percentage.2,10.0
85,52,771102.0,SEO.Percentage.1,100.0
86,53,730211.0,SEO.Percentage.2,65.0
87,53,730106.0,SEO.Percentage.1,25.0
88,53,730217.0,SEO.Percentage.3,10.0
89,54,620105.0,SEO.Percentage.1,100.0
90,55,730108.0,SEO.Percentage.1,100.0
91,56,770603.0,SEO.Percentage.1,100.0
92,57,730199.0,SEO.Percentage.1,50.0
93,57,730118.0,SEO.Percentage.2,50.0
94,59,749905.0,SEO.Percentage.1,100.0
95,61,730113.0,SEO.Percentage.2,20.0
96,61,730108.0,SEO.Percentage.1,80.0
97,62,780105.0,SEO.Percentage.2,70.0
98,62,730211.0,SEO.Percentage.1,30.0
99,63,670101.0,SEO.Percentage.2,50.0
100,63,630101.0,SEO.Percentage.1,50.0
101,64,730108.0,SEO.Percentage.1,100.0
102,66,671299.0,SEO.Percentage.1,30.0
103,66,671399.0,SEO.Percentage.2,40.0
