date,Person.ID,Dept.No.,Faculty.No.,With.PHD,years_in_uni,Number.of.Successful.Grant,Number.of.Unsuccessful.Grant,A.,A,B,C
2005-08-11,40572,3073.0,31.0,,0.0,0.0,0.0,4.0,2.0,0.0,0.0
2005-11-11,9067,2538.0,25.0,Yes ,4.0,0.0,0.0,6.0,12.0,2.0,2.0
2005-11-14,5967,2923.0,25.0,Yes ,2.0,0.0,0.0,0.0,3.0,5.0,2.0
2005-11-14,27307,2923.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-14,79652,2498.0,25.0,Yes ,4.0,0.0,0.0,1.0,3.0,3.0,3.0
2005-11-14,11667,2548.0,25.0,,4.0,0.0,0.0,6.0,14.0,12.0,2.0
2005-11-15,78782,2678.0,25.0,Yes ,2.0,0.0,0.0,0.0,3.0,13.0,3.0
2005-11-15,55337,2678.0,25.0,Yes ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-16,13042,2153.0,19.0,Yes ,2.0,0.0,0.0,3.0,0.0,1.0,0.0
2005-11-19,301472,2533.0,25.0,Yes ,1.0,2.0,0.0,7.0,27.0,27.0,6.0
2005-11-19,74292,3028.0,31.0,Yes ,3.0,0.0,0.0,8.0,5.0,2.0,0.0
2005-11-19,82602,3028.0,31.0,Yes ,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,79742,3028.0,31.0,,0.0,0.0,0.0,0.0,7.0,12.0,4.0
2005-11-19,1642,2563.0,25.0,,,0.0,3.0,0.0,0.0,0.0,0.0
2005-11-19,70212,2563.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,1012,3123.0,31.0,Yes ,2.0,0.0,0.0,8.0,1.0,11.0,0.0
2005-11-19,80197,3123.0,31.0,Yes ,2.0,2.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,89462,nan,nan,,,0.0,0.0,1.0,0.0,0.0,0.0
2005-11-19,67272,3098.0,31.0,Yes ,1.0,0.0,0.0,2.0,4.0,0.0,0.0
2005-11-19,80037,3098.0,31.0,Yes ,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,1797,2678.0,25.0,Yes ,2.0,2.0,7.0,0.0,8.0,4.0,0.0
2005-11-19,73882,2713.0,25.0,,0.0,1.0,1.0,4.0,3.0,2.0,1.0
2005-11-19,38457,2153.0,19.0,,0.0,0.0,0.0,3.0,4.0,2.0,0.0
2005-11-19,132247,1998.0,19.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,9067,2538.0,25.0,Yes ,4.0,3.0,3.0,6.0,12.0,2.0,2.0
2005-11-19,8067,1998.0,19.0,Yes ,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2005-11-19,80137,2163.0,19.0,Yes ,4.0,0.0,0.0,1.0,5.0,1.0,0.0
2005-11-19,69482,2883.0,25.0,Yes ,1.0,0.0,1.0,0.0,0.0,2.0,2.0
2005-11-19,1797,2678.0,25.0,Yes ,2.0,2.0,7.0,0.0,8.0,4.0,0.0
2005-11-19,26882,2523.0,25.0,Yes ,1.0,1.0,0.0,0.0,2.0,1.0,2.0
2005-11-19,69517,1258.0,34.0,Yes ,4.0,0.0,0.0,6.0,4.0,6.0,32.0
2005-11-19,66672,1258.0,34.0,Yes ,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,592577,2558.0,25.0,,,0.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,15282,2713.0,25.0,Yes ,2.0,1.0,1.0,1.0,1.0,2.0,0.0
2005-11-19,25947,1038.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,9067,2538.0,25.0,Yes ,4.0,3.0,3.0,6.0,12.0,2.0,2.0
2005-11-19,65807,2768.0,25.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,4902,2053.0,19.0,Yes ,2.0,1.0,0.0,1.0,3.0,4.0,1.0
2005-11-19,127447,2053.0,19.0,Yes ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,78947,2553.0,25.0,,0.0,1.0,1.0,0.0,3.0,3.0,1.0
2005-11-19,82567,2678.0,25.0,Yes ,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,36527,2653.0,25.0,,1.0,1.0,4.0,0.0,0.0,0.0,0.0
2005-11-19,16137,2653.0,25.0,,2.0,1.0,5.0,4.0,3.0,1.0,0.0
2005-11-19,20927,2578.0,25.0,Yes ,2.0,0.0,1.0,0.0,2.0,2.0,0.0
2005-11-19,1797,2678.0,25.0,Yes ,2.0,2.0,7.0,0.0,8.0,4.0,0.0
2005-11-19,3067,nan,nan,,,0.0,0.0,3.0,3.0,1.0,0.0
2005-11-19,51027,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,15987,1623.0,13.0,Yes ,2.0,0.0,0.0,1.0,3.0,2.0,2.0
2005-11-19,43587,1623.0,13.0,,,3.0,0.0,0.0,2.0,0.0,0.0
2005-11-19,39817,653.0,7.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,69032,2538.0,25.0,Yes ,1.0,1.0,2.0,4.0,2.0,3.0,1.0
2005-11-19,64842,2538.0,25.0,Yes ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,69262,2653.0,25.0,Yes ,3.0,1.0,0.0,7.0,5.0,7.0,7.0
2005-11-19,28502,2603.0,25.0,Yes ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,131432,2653.0,25.0,Yes ,1.0,0.0,0.0,4.0,5.0,6.0,0.0
2005-11-19,35602,2653.0,25.0,Yes ,1.0,1.0,0.0,9.0,5.0,5.0,4.0
2005-11-19,537,nan,25.0,Yes ,3.0,2.0,0.0,9.0,9.0,13.0,2.0
2005-11-19,76432,2653.0,25.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,4247,2298.0,46.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,5287,3123.0,31.0,Yes ,1.0,2.0,1.0,8.0,3.0,1.0,0.0
2005-11-19,66887,2813.0,25.0,,0.0,0.0,2.0,0.0,5.0,2.0,0.0
2005-11-19,70662,3268.0,31.0,,0.0,1.0,1.0,0.0,3.0,0.0,0.0
2005-11-19,69812,2813.0,25.0,,2.0,1.0,5.0,10.0,7.0,9.0,1.0
2005-11-19,35382,2103.0,19.0,,0.0,0.0,1.0,4.0,9.0,0.0,0.0
2005-11-19,149767,2828.0,25.0,,,1.0,2.0,0.0,0.0,0.0,0.0
2005-11-19,63562,2523.0,25.0,,0.0,1.0,1.0,0.0,2.0,5.0,2.0
2005-11-19,71867,2578.0,25.0,Yes ,3.0,3.0,1.0,7.0,19.0,26.0,13.0
2005-11-19,142457,2713.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,86672,2713.0,25.0,Yes ,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,8462,2713.0,25.0,Yes ,2.0,0.0,0.0,1.0,0.0,3.0,0.0
2005-11-19,72037,2713.0,25.0,Yes ,2.0,1.0,3.0,4.0,3.0,5.0,0.0
2005-11-19,78817,nan,25.0,Yes ,4.0,2.0,0.0,4.0,8.0,6.0,2.0
2005-11-19,74162,2813.0,25.0,Yes ,2.0,1.0,0.0,10.0,19.0,7.0,6.0
2005-11-19,67647,2678.0,25.0,Yes ,2.0,1.0,6.0,9.0,8.0,8.0,4.0
2005-11-19,63492,2523.0,25.0,,0.0,0.0,1.0,1.0,0.0,9.0,4.0
2005-11-19,26877,3123.0,31.0,,2.0,0.0,0.0,0.0,2.0,4.0,1.0
2005-11-19,80212,3123.0,31.0,Yes ,4.0,1.0,1.0,0.0,0.0,0.0,0.0
2005-11-19,69812,2813.0,25.0,,2.0,1.0,5.0,10.0,7.0,9.0,1.0
2005-11-19,119372,2813.0,25.0,Yes ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,491312,2563.0,25.0,Yes ,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2005-11-19,66672,1258.0,34.0,Yes ,3.0,2.0,0.0,16.0,15.0,13.0,15.0
2005-11-19,70662,3268.0,31.0,,0.0,1.0,1.0,0.0,3.0,0.0,0.0
2005-11-19,30977,3028.0,31.0,,0.0,1.0,0.0,10.0,8.0,8.0,9.0
2005-11-19,30457,2558.0,25.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2005-11-19,79802,3028.0,31.0,Yes ,4.0,1.0,0.0,1.0,8.0,9.0,5.0
2005-11-19,10577,2653.0,25.0,,2.0,0.0,1.0,3.0,4.0,3.0,1.0
2005-11-19,727732,2603.0,25.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,85642,3258.0,31.0,Yes ,1.0,1.0,5.0,16.0,21.0,24.0,6.0
2005-11-19,65227,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,82377,2298.0,46.0,Yes ,4.0,0.0,0.0,1.0,0.0,1.0,3.0
2005-11-19,46237,nan,nan,,,0.0,0.0,0.0,1.0,2.0,1.0
2005-11-19,9227,1258.0,34.0,Yes ,1.0,0.0,3.0,0.0,2.0,3.0,3.0
2005-11-19,10662,1258.0,34.0,Yes ,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,16137,2653.0,25.0,,2.0,1.0,5.0,4.0,3.0,1.0,0.0
2005-11-19,69147,2778.0,25.0,,2.0,0.0,1.0,1.0,1.0,0.0,2.0
2005-11-19,15187,3198.0,31.0,Yes ,3.0,0.0,1.0,4.0,17.0,0.0,3.0
2005-11-19,43882,2768.0,25.0,Yes ,1.0,0.0,5.0,3.0,4.0,2.0,1.0
2005-11-19,30017,2893.0,25.0,,1.0,0.0,0.0,0.0,7.0,9.0,3.0
2005-11-19,41202,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-19,30527,2523.0,25.0,Yes ,1.0,2.0,1.0,0.0,7.0,27.0,9.0
2005-11-19,64347,2893.0,25.0,,4.0,0.0,1.0,4.0,13.0,19.0,14.0
2005-11-19,1217,3028.0,31.0,Yes ,4.0,2.0,0.0,16.0,13.0,8.0,0.0
2005-11-19,489582,3048.0,31.0,Yes ,1.0,0.0,1.0,11.0,1.0,2.0,0.0
2005-11-19,76352,2523.0,25.0,Yes ,3.0,1.0,0.0,4.0,4.0,0.0,0.0
2005-11-19,649042,2523.0,25.0,Yes ,1.0,3.0,0.0,0.0,0.0,0.0,0.0
