date,Person.ID,Dept.No.,Faculty.No.,With.PHD,years_in_uni,Number.of.Successful.Grant,Number.of.Unsuccessful.Grant,A.,A,B,C
8/11/05,40572,3073.0,31.0,,0.0,0.0,0.0,4.0,2.0,0.0,0.0
11/11/05,9067,2538.0,25.0,Yes ,4.0,0.0,0.0,6.0,12.0,2.0,2.0
14/11/05,5967,2923.0,25.0,Yes ,2.0,0.0,0.0,0.0,3.0,5.0,2.0
14/11/05,27307,2923.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/11/05,79652,2498.0,25.0,Yes ,4.0,0.0,0.0,1.0,3.0,3.0,3.0
14/11/05,11667,2548.0,25.0,,4.0,0.0,0.0,6.0,14.0,12.0,2.0
15/11/05,78782,2678.0,25.0,Yes ,2.0,0.0,0.0,0.0,3.0,13.0,3.0
15/11/05,55337,2678.0,25.0,Yes ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16/11/05,13042,2153.0,19.0,Yes ,2.0,0.0,0.0,3.0,0.0,1.0,0.0
19/11/05,301472,2533.0,25.0,Yes ,1.0,2.0,0.0,7.0,27.0,27.0,6.0
19/11/05,74292,3028.0,31.0,Yes ,3.0,0.0,0.0,8.0,5.0,2.0,0.0
19/11/05,82602,3028.0,31.0,Yes ,3.0,0.0,1.0,0.0,0.0,0.0,0.0
19/11/05,79742,3028.0,31.0,,0.0,0.0,0.0,0.0,7.0,12.0,4.0
19/11/05,1642,2563.0,25.0,,,0.0,3.0,0.0,0.0,0.0,0.0
19/11/05,70212,2563.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/11/05,1012,3123.0,31.0,Yes ,2.0,0.0,0.0,8.0,1.0,11.0,0.0
19/11/05,80197,3123.0,31.0,Yes ,2.0,2.0,1.0,0.0,0.0,0.0,0.0
19/11/05,89462,nan,nan,,,0.0,0.0,1.0,0.0,0.0,0.0
19/11/05,67272,3098.0,31.0,Yes ,1.0,0.0,0.0,2.0,4.0,0.0,0.0
19/11/05,80037,3098.0,31.0,Yes ,4.0,1.0,0.0,0.0,0.0,0.0,0.0
19/11/05,1797,2678.0,25.0,Yes ,2.0,2.0,7.0,0.0,8.0,4.0,0.0
19/11/05,73882,2713.0,25.0,,0.0,1.0,1.0,4.0,3.0,2.0,1.0
19/11/05,38457,2153.0,19.0,,0.0,0.0,0.0,3.0,4.0,2.0,0.0
19/11/05,132247,1998.0,19.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19/11/05,9067,2538.0,25.0,Yes ,4.0,3.0,3.0,6.0,12.0,2.0,2.0
19/11/05,8067,1998.0,19.0,Yes ,2.0,0.0,2.0,0.0,0.0,0.0,0.0
19/11/05,80137,2163.0,19.0,Yes ,4.0,0.0,0.0,1.0,5.0,1.0,0.0
19/11/05,69482,2883.0,25.0,Yes ,1.0,0.0,1.0,0.0,0.0,2.0,2.0
19/11/05,1797,2678.0,25.0,Yes ,2.0,2.0,7.0,0.0,8.0,4.0,0.0
19/11/05,26882,2523.0,25.0,Yes ,1.0,1.0,0.0,0.0,2.0,1.0,2.0
19/11/05,69517,1258.0,34.0,Yes ,4.0,0.0,0.0,6.0,4.0,6.0,32.0
19/11/05,66672,1258.0,34.0,Yes ,3.0,2.0,0.0,0.0,0.0,0.0,0.0
19/11/05,592577,2558.0,25.0,,,0.0,1.0,0.0,0.0,0.0,0.0
19/11/05,15282,2713.0,25.0,Yes ,2.0,1.0,1.0,1.0,1.0,2.0,0.0
19/11/05,25947,1038.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0
19/11/05,9067,2538.0,25.0,Yes ,4.0,3.0,3.0,6.0,12.0,2.0,2.0
19/11/05,65807,2768.0,25.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19/11/05,4902,2053.0,19.0,Yes ,2.0,1.0,0.0,1.0,3.0,4.0,1.0
19/11/05,127447,2053.0,19.0,Yes ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/11/05,78947,2553.0,25.0,,0.0,1.0,1.0,0.0,3.0,3.0,1.0
19/11/05,82567,2678.0,25.0,Yes ,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19/11/05,36527,2653.0,25.0,,1.0,1.0,4.0,0.0,0.0,0.0,0.0
19/11/05,16137,2653.0,25.0,,2.0,1.0,5.0,4.0,3.0,1.0,0.0
19/11/05,20927,2578.0,25.0,Yes ,2.0,0.0,1.0,0.0,2.0,2.0,0.0
19/11/05,1797,2678.0,25.0,Yes ,2.0,2.0,7.0,0.0,8.0,4.0,0.0
19/11/05,3067,nan,nan,,,0.0,0.0,3.0,3.0,1.0,0.0
19/11/05,51027,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
19/11/05,15987,1623.0,13.0,Yes ,2.0,0.0,0.0,1.0,3.0,2.0,2.0
19/11/05,43587,1623.0,13.0,,,3.0,0.0,0.0,2.0,0.0,0.0
19/11/05,39817,653.0,7.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19/11/05,69032,2538.0,25.0,Yes ,1.0,1.0,2.0,4.0,2.0,3.0,1.0
19/11/05,64842,2538.0,25.0,Yes ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19/11/05,69262,2653.0,25.0,Yes ,3.0,1.0,0.0,7.0,5.0,7.0,7.0
19/11/05,28502,2603.0,25.0,Yes ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19/11/05,131432,2653.0,25.0,Yes ,1.0,0.0,0.0,4.0,5.0,6.0,0.0
19/11/05,35602,2653.0,25.0,Yes ,1.0,1.0,0.0,9.0,5.0,5.0,4.0
19/11/05,537,nan,25.0,Yes ,3.0,2.0,0.0,9.0,9.0,13.0,2.0
19/11/05,76432,2653.0,25.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19/11/05,4247,2298.0,46.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19/11/05,5287,3123.0,31.0,Yes ,1.0,2.0,1.0,8.0,3.0,1.0,0.0
19/11/05,66887,2813.0,25.0,,0.0,0.0,2.0,0.0,5.0,2.0,0.0
19/11/05,70662,3268.0,31.0,,0.0,1.0,1.0,0.0,3.0,0.0,0.0
19/11/05,69812,2813.0,25.0,,2.0,1.0,5.0,10.0,7.0,9.0,1.0
19/11/05,35382,2103.0,19.0,,0.0,0.0,1.0,4.0,9.0,0.0,0.0
19/11/05,149767,2828.0,25.0,,,1.0,2.0,0.0,0.0,0.0,0.0
19/11/05,63562,2523.0,25.0,,0.0,1.0,1.0,0.0,2.0,5.0,2.0
19/11/05,71867,2578.0,25.0,Yes ,3.0,3.0,1.0,7.0,19.0,26.0,13.0
19/11/05,142457,2713.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19/11/05,86672,2713.0,25.0,Yes ,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19/11/05,8462,2713.0,25.0,Yes ,2.0,0.0,0.0,1.0,0.0,3.0,0.0
19/11/05,72037,2713.0,25.0,Yes ,2.0,1.0,3.0,4.0,3.0,5.0,0.0
19/11/05,78817,nan,25.0,Yes ,4.0,2.0,0.0,4.0,8.0,6.0,2.0
19/11/05,74162,2813.0,25.0,Yes ,2.0,1.0,0.0,10.0,19.0,7.0,6.0
19/11/05,67647,2678.0,25.0,Yes ,2.0,1.0,6.0,9.0,8.0,8.0,4.0
