id,Person.ID,Role
1,40572,CHIEF_INVESTIGATOR
2,9067,CHIEF_INVESTIGATOR
3,5967,CHIEF_INVESTIGATOR
4,78782,PRINCIPAL_SUPERVISOR
5,13042,CHIEF_INVESTIGATOR
6,301472,CHIEF_INVESTIGATOR
7,74292,CHIEF_INVESTIGATOR
8,1642,CHIEF_INVESTIGATOR
9,1012,CHIEF_INVESTIGATOR
10,89462,CHIEF_INVESTIGATOR
11,67272,CHIEF_INVESTIGATOR
12,1797,CHIEF_INVESTIGATOR
13,73882,CHIEF_INVESTIGATOR
14,38457,CHIEF_INVESTIGATOR
15,9067,CHIEF_INVESTIGATOR
16,69482,CHIEF_INVESTIGATOR
17,1797,CHIEF_INVESTIGATOR
18,26882,CHIEF_INVESTIGATOR
19,69517,PRINCIPAL_SUPERVISOR
20,592577,CHIEF_INVESTIGATOR
21,15282,CHIEF_INVESTIGATOR
22,25947,CHIEF_INVESTIGATOR
23,9067,CHIEF_INVESTIGATOR
24,4902,CHIEF_INVESTIGATOR
25,78947,CHIEF_INVESTIGATOR
26,36527,CHIEF_INVESTIGATOR
27,16137,CHIEF_INVESTIGATOR
28,20927,CHIEF_INVESTIGATOR
29,1797,CHIEF_INVESTIGATOR
30,3067,CHIEF_INVESTIGATOR
31,39817,CHIEF_INVESTIGATOR
32,69032,DELEGATED_RESEARCHER
33,69262,CHIEF_INVESTIGATOR
34,4247,CHIEF_INVESTIGATOR
35,5287,CHIEF_INVESTIGATOR
36,66887,CHIEF_INVESTIGATOR
37,70662,CHIEF_INVESTIGATOR
38,69812,CHIEF_INVESTIGATOR
39,35382,CHIEF_INVESTIGATOR
40,149767,CHIEF_INVESTIGATOR
41,63562,CHIEF_INVESTIGATOR
42,71867,CHIEF_INVESTIGATOR
43,142457,CHIEF_INVESTIGATOR
44,74162,CHIEF_INVESTIGATOR
45,67647,CHIEF_INVESTIGATOR
46,63492,CHIEF_INVESTIGATOR
47,26877,CHIEF_INVESTIGATOR
48,69812,CHIEF_INVESTIGATOR
49,491312,CHIEF_INVESTIGATOR
50,66672,CHIEF_INVESTIGATOR
51,70662,CHIEF_INVESTIGATOR
52,30977,CHIEF_INVESTIGATOR
