id,SEO.Code,SEO.Percentage
1,700299,100.0
2,700102,50.0
2,700103,50.0
3,730105,60.0
3,730207,40.0
4,730106,70.0
4,730201,30.0
5,770199,100.0
6,730211,100.0
7,770703,60.0
7,770706,40.0
8,730303,100.0
9,780104,100.0
10,770502,40.0
10,770503,60.0
11,740301,100.0
12,730106,30.0
12,730115,50.0
12,730116,20.0
13,730104,100.0
14,730199,100.0
15,700102,50.0
15,700103,50.0
16,730111,100.0
17,730116,33.0
17,730204,33.0
17,730215,34.0
18,740301,34.0
18,759900,33.0
18,770802,33.0
19,780105,100.0
20,730211,100.0
21,730105,30.0
21,730108,40.0
21,730115,30.0
22,759999,100.0
23,730211,100.0
24,671401,30.0
24,671402,30.0
24,671403,40.0
25,740301,100.0
28,730108,80.0
28,780105,20.0
29,730106,100.0
30,720403,60.0
30,750101,40.0
31,750802,80.0
31,750901,20.0
32,730104,100.0
33,670502,25.0
33,730104,25.0
33,730203,25.0
33,730211,25.0
34,740102,20.0
34,740201,40.0
34,740401,40.0
35,770101,40.0
35,780104,60.0
36,730105,100.0
37,630104,100.0
38,730105,100.0
39,770202,50.0
39,770802,50.0
40,730114,100.0
41,730201,50.0
41,730399,50.0
42,730000,40.0
42,730104,40.0
42,730213,20.0
43,730105,40.0
43,730106,60.0
44,730105,100.0
45,730107,50.0
45,730203,50.0
46,730201,40.0
46,730204,20.0
46,751004,40.0
47,770101,20.0
47,770102,30.0
47,770103,50.0
48,730106,100.0
49,730217,100.0
50,780105,100.0
51,630106,90.0
51,730216,10.0
52,771102,100.0
53,730106,25.0
53,730211,65.0
53,730217,10.0
54,620105,100.0
55,730108,100.0
56,770603,100.0
57,730118,50.0
57,730199,50.0
59,749905,100.0
61,730108,80.0
61,730113,20.0
62,730211,30.0
62,780105,70.0
63,630101,50.0
63,670101,50.0
64,730108,100.0
66,671299,30.0
66,671399,40.0
66,700399,30.0
68,730213,100.0
69,730101,80.0
69,780105,20.0
70,780103,100.0
71,730110,50.0
71,730213,50.0
72,660403,20.0
72,750699,60.0
72,760101,20.0
73,730105,100.0
74,730106,100.0
75,770502,100.0
76,730108,100.0
77,730207,60.0
77,730218,20.0
77,730219,20.0
78,730211,100.0
79,730204,100.0
80,770101,100.0
81,730105,60.0
81,730207,40.0
82,730107,30.0
82,730108,40.0
82,730213,30.0
83,730101,75.0
83,730212,25.0
84,730211,45.0
84,730217,30.0
84,730306,25.0
85,670105,60.0
85,670499,10.0
85,730113,30.0
86,740401,40.0
86,750101,40.0
86,750305,20.0
87,620502,30.0
87,750704,70.0
88,620303,30.0
88,620399,10.0
88,780105,60.0
89,730104,40.0
89,730113,60.0
91,730102,100.0
92,730207,25.0
92,730219,35.0
92,730301,40.0
93,680202,50.0
93,680302,30.0
93,680402,20.0
94,770502,100.0
95,730108,100.0
96,670403,50.0
96,730101,50.0
97,730201,100.0
98,730217,100.0
99,750602,60.0
99,751004,40.0
100,780107,50.0
100,780108,50.0
101,700103,100.0
102,730116,100.0
103,730219,20.0
103,750503,80.0
104,730214,100.0
105,710401,100.0
106,730108,100.0
107,730199,100.0
108,770503,100.0
109,730104,80.0
109,730211,20.0
110,730108,100.0
111,670105,50.0
111,670106,50.0
112,730108,100.0
113,730105,50.0
113,730106,50.0
114,780105,100.0
115,730108,100.0
116,720299,100.0
117,730101,10.0
117,730212,30.0
117,730213,10.0
117,730299,40.0
117,730307,10.0
118,780104,100.0
119,730114,50.0
119,730203,50.0
120,780105,100.0
121,730105,100.0
122,620204,100.0
123,730101,50.0
123,730118,50.0
124,730104,20.0
124,730107,20.0
124,730215,10.0
124,780105,50.0
125,730219,100.0
126,730108,100.0
128,730104,50.0
128,730111,50.0
129,730101,40.0
129,730116,40.0
129,730204,20.0
130,730102,100.0
131,680299,100.0
132,760101,20.0
132,770101,60.0
132,770102,20.0
133,780105,100.0
134,730105,50.0
134,730106,50.0
135,690499,60.0
135,750605,40.0
136,730108,100.0
137,730213,60.0
137,730217,20.0
137,730306,20.0
138,680503,100.0
139,780103,100.0
140,730104,50.0
140,730113,50.0
142,670403,40.0
142,780103,30.0
142,780105,30.0
143,730106,30.0
143,730115,50.0
143,730116,20.0
144,730114,50.0
144,730203,50.0
145,730104,50.0
145,730200,50.0
146,730113,100.0
147,740301,20.0
147,740401,20.0
147,749906,60.0
148,730207,30.0
148,730211,40.0
148,750311,30.0
149,730104,100.0
150,730104,20.0
150,730399,80.0
153,730110,50.0
153,730113,25.0
153,730303,25.0
154,730208,100.0
156,730108,80.0
156,730113,20.0
157,730108,50.0
157,730114,50.0
158,730101,90.0
158,730107,10.0
159,671401,60.0
159,730103,10.0
159,780102,30.0
160,730105,30.0
160,730204,40.0
160,730215,30.0
161,780105,100.0
162,730110,40.0
162,730203,30.0
162,730213,30.0
163,730106,100.0
164,730102,80.0
164,730108,20.0
165,730101,100.0
166,751005,30.0
166,751099,70.0
167,659999,100.0
168,730101,50.0
