,id,RFCD.Code,variable,value
0,1,280199.0,RFCD.Percentage.1,100.0
1,2,280103.0,RFCD.Percentage.1,30.0
2,2,280203.0,RFCD.Percentage.3,40.0
3,2,280106.0,RFCD.Percentage.2,30.0
4,3,321004.0,RFCD.Percentage.1,60.0
5,3,321216.0,RFCD.Percentage.2,40.0
6,4,270602.0,RFCD.Percentage.1,50.0
7,4,320602.0,RFCD.Percentage.2,50.0
8,5,290000.0,RFCD.Percentage.3,33.0
9,5,280000.0,RFCD.Percentage.2,33.0
10,5,260500.0,RFCD.Percentage.1,34.0
11,6,321204.0,RFCD.Percentage.1,100.0
12,7,270708.0,RFCD.Percentage.1,50.0
13,7,270401.0,RFCD.Percentage.3,20.0
14,7,270203.0,RFCD.Percentage.2,30.0
15,8,321405.0,RFCD.Percentage.1,100.0
16,9,260109.0,RFCD.Percentage.2,50.0
17,9,260108.0,RFCD.Percentage.1,50.0
18,10,270203.0,RFCD.Percentage.3,30.0
19,10,270704.0,RFCD.Percentage.2,30.0
20,10,270708.0,RFCD.Percentage.1,40.0
21,11,230112.0,RFCD.Percentage.2,40.0
22,11,230111.0,RFCD.Percentage.1,60.0
23,12,321003.0,RFCD.Percentage.2,30.0
24,12,321012.0,RFCD.Percentage.3,50.0
25,12,270603.0,RFCD.Percentage.1,20.0
26,13,320702.0,RFCD.Percentage.1,100.0
27,14,239901.0,RFCD.Percentage.2,49.0
28,14,291599.0,RFCD.Percentage.1,51.0
29,15,280106.0,RFCD.Percentage.2,30.0
30,15,280103.0,RFCD.Percentage.3,30.0
31,15,280203.0,RFCD.Percentage.1,40.0
32,16,321099.0,RFCD.Percentage.1,100.0
33,17,321005.0,RFCD.Percentage.3,34.0
34,17,270603.0,RFCD.Percentage.1,33.0
35,17,321026.0,RFCD.Percentage.2,33.0
36,18,300903.0,RFCD.Percentage.1,33.0
37,18,370106.0,RFCD.Percentage.3,34.0
38,18,370499.0,RFCD.Percentage.2,33.0
39,19,300508.0,RFCD.Percentage.1,40.0
40,19,270899.0,RFCD.Percentage.3,20.0
41,19,270201.0,RFCD.Percentage.2,40.0
42,20,380103.0,RFCD.Percentage.1,100.0
43,21,270106.0,RFCD.Percentage.2,40.0
44,21,321015.0,RFCD.Percentage.3,40.0
45,21,270103.0,RFCD.Percentage.1,20.0
46,22,370107.0,RFCD.Percentage.1,100.0
47,23,321021.0,RFCD.Percentage.1,40.0
48,23,321204.0,RFCD.Percentage.2,30.0
49,23,320799.0,RFCD.Percentage.3,30.0
50,24,291801.0,RFCD.Percentage.1,60.0
51,24,291804.0,RFCD.Percentage.2,30.0
52,24,291802.0,RFCD.Percentage.3,10.0
53,25,330305.0,RFCD.Percentage.1,100.0
54,28,270299.0,RFCD.Percentage.1,100.0
55,29,270603.0,RFCD.Percentage.1,50.0
56,29,321004.0,RFCD.Percentage.2,50.0
57,30,350201.0,RFCD.Percentage.1,60.0
58,30,380108.0,RFCD.Percentage.2,40.0
59,31,400303.0,RFCD.Percentage.1,80.0
60,31,400301.0,RFCD.Percentage.2,20.0
61,32,320702.0,RFCD.Percentage.1,100.0
62,33,321013.0,RFCD.Percentage.2,20.0
63,33,320702.0,RFCD.Percentage.1,20.0
64,33,321020.0,RFCD.Percentage.3,20.0
65,33,321021.0,RFCD.Percentage.4,20.0
66,34,330107.0,RFCD.Percentage.1,100.0
67,35,260109.0,RFCD.Percentage.1,50.0
68,35,260112.0,RFCD.Percentage.3,10.0
69,35,260602.0,RFCD.Percentage.2,40.0
70,36,270104.0,RFCD.Percentage.1,100.0
71,37,270201.0,RFCD.Percentage.1,100.0
72,38,321004.0,RFCD.Percentage.1,100.0
73,39,300105.0,RFCD.Percentage.1,50.0
74,39,270703.0,RFCD.Percentage.2,30.0
75,39,291002.0,RFCD.Percentage.3,20.0
76,40,270108.0,RFCD.Percentage.2,50.0
77,40,321028.0,RFCD.Percentage.1,50.0
78,41,321299.0,RFCD.Percentage.2,50.0
79,41,321216.0,RFCD.Percentage.1,50.0
80,42,320703.0,RFCD.Percentage.2,40.0
81,42,320702.0,RFCD.Percentage.1,40.0
82,42,270105.0,RFCD.Percentage.3,20.0
83,43,321003.0,RFCD.Percentage.2,60.0
84,43,321004.0,RFCD.Percentage.1,40.0
85,44,321004.0,RFCD.Percentage.1,100.0
86,45,320602.0,RFCD.Percentage.1,100.0
87,46,370199.0,RFCD.Percentage.2,30.0
88,46,420303.0,RFCD.Percentage.1,50.0
