Person.ID,Year.of.Birth,Country.of.Birth,Home.Language
40572,1965.0,Asia Pacific,Other
9067,1960.0,Australia,
5967,1955.0,Australia,
78782,1955.0,Australia,
13042,1965.0,Western Europe,
301472,1950.0,Australia,
74292,1960.0,Australia,
1642,1965.0,Australia,
1012,1945.0,Australia,English
89462,1930.0,,
67272,1965.0,Australia,
1797,1960.0,North America,
73882,1960.0,Great Britain,
38457,1970.0,Australia,
9067,1960.0,Australia,
69482,1965.0,Australia,
1797,1960.0,North America,
26882,1950.0,Australia,
69517,1950.0,Australia,English
592577,1975.0,,
15282,1965.0,Australia,English
25947,1960.0,Australia,
9067,1960.0,Australia,
4902,1950.0,Australia,
78947,1960.0,Australia,
36527,1955.0,Australia,
16137,1950.0,Australia,
20927,1965.0,Australia,
1797,1960.0,North America,
3067,1950.0,,
39817,1955.0,Australia,
69032,1965.0,Australia,English
69262,1960.0,Australia,
4247,1950.0,Australia,
5287,1960.0,Australia,
66887,1955.0,Australia,
70662,1970.0,Australia,
69812,1960.0,Australia,
35382,1970.0,Australia,
149767,1975.0,Australia,
63562,1940.0,Australia,
71867,1945.0,Australia,
142457,1970.0,Australia,
74162,1970.0,Australia,
67647,1965.0,Australia,
63492,1945.0,Australia,
26877,1935.0,Australia,
69812,1960.0,Australia,
491312,1960.0,Australia,
66672,1960.0,Australia,
70662,1970.0,Australia,
30977,1950.0,Great Britain,
30457,1955.0,Asia Pacific,
79802,1950.0,Australia,
10577,1960.0,Australia,
85642,1955.0,Australia,
82377,1950.0,New Zealand,
46237,1945.0,,
9227,1970.0,Australia,
16137,1950.0,Australia,
69147,1960.0,Australia,
15187,1960.0,Australia,
43882,1975.0,Australia,
30017,1960.0,Australia,
1217,1960.0,Australia,English
489582,1975.0,Great Britain,
76352,1965.0,Australia,
81067,1940.0,Australia,
74162,1970.0,Australia,
66657,1965.0,Australia,
66902,1945.0,Australia,
79057,1955.0,Australia,
22972,1965.0,Australia,
4222,1960.0,Australia,
1797,1960.0,North America,
85642,1955.0,Australia,
5967,1955.0,Australia,
76352,1965.0,Australia,
74302,1960.0,Australia,
131257,1980.0,Australia,
56387,1960.0,Australia,
39632,1975.0,Great Britain,
85642,1955.0,Australia,
8012,1960.0,Western Europe,
71867,1945.0,Australia,
12957,1965.0,Great Britain,
8772,1965.0,Australia,
73017,1960.0,The Americas,
125287,1945.0,Australia,
497907,1970.0,Australia,
1687,1960.0,Great Britain,
132232,1975.0,Australia,
28682,1975.0,Australia,
67622,1945.0,North America,
115417,1965.0,Western Europe,Other
19362,1955.0,Australia,
73737,1950.0,Australia,
69952,1960.0,Australia,
74932,1960.0,Great Britain,
26857,1965.0,Australia,
79427,1960.0,Australia,
730092,1975.0,,
7947,1960.0,Asia Pacific,
38697,1960.0,Australia,
34737,1970.0,North America,
27757,1960.0,Australia,
712,1970.0,Great Britain,
