id,RFCD.Code,RFCD.Percentage
1,28,100.0
2,28,100.0
3,32,100.0
4,27,50.0
4,32,50.0
5,26,34.0
5,28,33.0
5,29,33.0
6,32,100.0
7,27,100.0
8,32,100.0
9,26,100.0
10,27,100.0
11,23,100.0
12,27,20.0
12,32,80.0
13,32,100.0
14,23,49.0
14,29,51.0
15,28,100.0
16,32,100.0
17,27,33.0
17,32,67.0
18,30,33.0
18,37,67.0
19,27,60.0
19,30,40.0
20,38,100.0
21,27,60.0
21,32,40.0
22,37,100.0
23,32,100.0
24,29,100.0
25,33,100.0
28,27,100.0
29,27,50.0
29,32,50.0
30,35,60.0
30,38,40.0
31,40,100.0
32,32,100.0
33,32,80.0
34,33,100.0
35,26,100.0
36,27,100.0
37,27,100.0
38,32,100.0
39,27,30.0
39,29,20.0
39,30,50.0
40,27,50.0
40,32,50.0
41,32,100.0
42,27,20.0
42,32,80.0
43,32,100.0
44,32,100.0
45,32,100.0
46,37,30.0
46,38,20.0
46,42,50.0
47,26,100.0
48,32,100.0
49,32,100.0
50,27,50.0
50,30,50.0
51,27,40.0
51,30,60.0
52,27,100.0
53,32,35.0
53,38,65.0
54,27,50.0
54,30,50.0
55,32,100.0
56,27,100.0
57,32,100.0
59,33,100.0
60,32,100.0
61,27,100.0
62,21,50.0
62,27,50.0
63,27,66.0
63,30,34.0
64,27,70.0
64,32,30.0
66,24,40.0
66,29,60.0
68,32,100.0
69,27,20.0
69,32,80.0
70,25,100.0
71,27,50.0
71,32,50.0
72,31,40.0
72,36,60.0
73,32,100.0
74,32,100.0
75,30,100.0
76,27,100.0
77,32,100.0
78,32,100.0
79,32,100.0
80,27,100.0
81,32,100.0
82,23,30.0
82,32,70.0
83,32,100.0
84,32,100.0
85,27,30.0
85,29,40.0
85,32,30.0
86,32,60.0
86,38,40.0
87,30,100.0
88,27,40.0
88,30,60.0
89,32,100.0
91,27,40.0
91,32,60.0
92,32,100.0
93,29,100.0
94,29,40.0
94,30,20.0
94,34,40.0
95,27,100.0
96,32,100.0
97,23,50.0
97,32,50.0
98,27,100.0
99,36,60.0
99,40,40.0
100,32,30.0
100,37,35.0
100,38,35.0
101,28,40.0
101,29,60.0
102,32,100.0
103,39,100.0
104,32,100.0
105,35,100.0
106,32,100.0
107,32,100.0
108,30,100.0
109,32,100.0
110,27,100.0
111,24,50.0
111,29,50.0
112,27,50.0
112,32,50.0
113,32,100.0
114,27,100.0
115,32,100.0
116,34,100.0
117,32,100.0
118,26,100.0
119,32,100.0
120,32,100.0
121,27,100.0
122,27,100.0
123,32,100.0
124,27,100.0
125,32,100.0
126,32,100.0
128,32,100.0
129,32,100.0
130,32,100.0
131,31,100.0
132,26,100.0
133,32,100.0
134,32,100.0
135,31,60.0
135,36,40.0
136,32,100.0
137,32,55.0
137,38,45.0
138,29,100.0
139,25,100.0
140,32,100.0
142,25,30.0
142,27,70.0
143,27,20.0
143,32,80.0
144,32,100.0
145,32,100.0
146,32,100.0
147,33,100.0
148,32,100.0
149,32,100.0
150,32,100.0
153,32,100.0
154,32,100.0
156,27,100.0
157,32,100.0
158,32,100.0
159,24,80.0
159,27,20.0
160,27,40.0
160,32,60.0
161,27,100.0
162,27,20.0
162,32,80.0
163,32,100.0
164,27,100.0
165,30,100.0
166,38,100.0
167,33,100.0
168,27,100.0
169,25,100.0
170,26,20.0
170,27,80.0
171,32,100.0
172,25,100.0
173,23,50.0
173,32,50.0
174,32,100.0
175,26,100.0
176,27,70.0
176,30,30.0
177,44,100.0
178,27,50.0
178,32,50.0
179,24,100.0
180,27,50.0
180,30,50.0
181,27,50.0
181,32,50.0
184,28,80.0
184,32,20.0
185,32,100.0
186,25,50.0
186,30,25.0
186,32,25.0
187,32,100.0
188,27,100.0
189,27,50.0
189,32,50.0
190,27,30.0
190,28,70.0
192,26,100.0
194,32,100.0
196,32,100.0
197,32,60.0
197,41,40.0
199,32,100.0
200,32,100.0
201,32,100.0
202,36,20.0
202,39,80.0
203,32,100.0
204,36,20.0
204,39,80.0
205,38,100.0
206,41,80.0
206,43,20.0
207,24,50.0
207,29,50.0
209,35,100.0
210,36,100.0
212,27,100.0
214,32,100.0
215,21,50.0
215,32,50.0
216,38,50.0
216,44,50.0
217,27,100.0
218,27,33.0
218,32,67.0
219,32,100.0
220,34,100.0
221,27,100.0
222,25,40.0
222,29,60.0
223,27,90.0
223,37,10.0
224,32,100.0
225,24,100.0
226,32,100.0
227,32,100.0
228,27,100.0
229,32,100.0
230,32,100.0
231,32,100.0
232,32,100.0
233,43,100.0
234,32,100.0
236,32,100.0
237,24,100.0
238,30,100.0
239,32,100.0
240,21,40.0
240,29,30.0
240,30,30.0
241,32,100.0
242,27,90.0
242,32,10.0
243,27,80.0
243,32,20.0
244,32,100.0
245,25,100.0
246,32,20.0
246,36,40.0
246,39,40.0
247,32,100.0
248,32,100.0
249,23,60.0
249,24,40.0
250,32,100.0
251,32,100.0
252,27,70.0
252,30,30.0
254,23,50.0
254,29,50.0
255,26,100.0
256,29,50.0
256,32,50.0
257,21,50.0
257,27,50.0
258,27,30.0
258,32,70.0
260,27,50.0
260,32,50.0
261,39,100.0
262,32,100.0
264,26,100.0
265,34,50.0
265,37,50.0
266,27,100.0
267,32,100.0
268,32,100.0
269,33,100.0
270,27,50.0
270,32,50.0
271,27,100.0
272,27,100.0
274,28,100.0
276,27,100.0
277,23,100.0
278,27,10.0
278,32,90.0
279,27,25.0
279,30,75.0
280,32,100.0
281,21,100.0
282,32,100.0
283,32,30.0
283,37,70.0
284,32,100.0
285,39,100.0
286,32,100.0
287,33,100.0
289,27,100.0
290,32,20.0
290,33,30.0
290,41,50.0
291,37,50.0
291,38,50.0
292,25,50.0
292,27,15.0
292,32,35.0
293,32,100.0
294,32,100.0
295,32,40.0
295,37,60.0
296,32,100.0
297,27,100.0
298,32,100.0
299,26,100.0
300,28,100.0
301,24,100.0
302,27,70.0
302,32,30.0
303,32,100.0
304,34,100.0
305,32,100.0
306,32,100.0
307,27,100.0
308,32,100.0
309,32,100.0
310,32,100.0
311,31,50.0
311,43,50.0
312,37,25.0
312,43,75.0
313,37,100.0
314,29,100.0
316,29,40.0
316,30,60.0
317,32,100.0
318,32,100.0
320,25,33.0
320,32,67.0
321,24,100.0
322,27,100.0
323,27,100.0
324,27,100.0
325,27,100.0
326,27,100.0
327,32,100.0
328,32,100.0
329,27,100.0
330,24,30.0
330,25,70.0
331,32,100.0
332,21,50.0
332,27,50.0
333,26,100.0
334,32,100.0
335,27,50.0
335,33,50.0
336,32,100.0
337,32,100.0
338,27,100.0
339,30,100.0
340,24,100.0
343,28,20.0
343,42,80.0
344,32,70.0
344,37,30.0
345,27,70.0
345,32,30.0
346,32,100.0
347,27,100.0
348,38,100.0
349,32,100.0
351,32,100.0
352,32,100.0
353,32,40.0
353,38,60.0
354,32,100.0
355,32,100.0
356,27,50.0
356,32,50.0
357,32,100.0
358,29,100.0
359,39,80.0
359,41,20.0
360,32,100.0
361,32,100.0
362,30,100.0
363,43,100.0
365,32,100.0
366,30,100.0
367,32,100.0
368,37,100.0
369,32,100.0
370,32,100.0
371,32,100.0
372,32,100.0
373,32,100.0
374,32,70.0
374,42,30.0
375,32,100.0
376,32,100.0
377,27,30.0
377,32,70.0
378,32,100.0
380,32,100.0
381,27,30.0
381,32,70.0
382,32,100.0
383,27,50.0
383,32,50.0
384,37,80.0
384,38,20.0
385,41,100.0
386,21,50.0
386,32,50.0
387,23,100.0
388,38,100.0
389,27,50.0
389,32,50.0
390,32,100.0
391,26,100.0
392,27,100.0
393,32,100.0
394,27,20.0
394,32,80.0
395,39,70.0
395,40,30.0
396,32,100.0
397,25,50.0
397,27,50.0
398,32,100.0
399,32,80.0
399,38,20.0
400,42,100.0
401,28,40.0
401,30,60.0
402,30,100.0
403,32,100.0
404,27,100.0
405,30,100.0
406,32,100.0
409,38,100.0
410,32,100.0
411,32,100.0
413,32,100.0
414,32,100.0
415,32,100.0
416,43,100.0
417,32,100.0
418,32,100.0
419,32,100.0
420,30,100.0
421,28,30.0
421,42,30.0
421,43,40.0
422,32,100.0
424,32,100.0
427,34,90.0
427,37,10.0
428,32,100.0
429,28,30.0
429,29,40.0
429,30,30.0
430,27,40.0
430,32,60.0
431,27,50.0
431,32,50.0
432,32,100.0
433,32,100.0
434,25,100.0
435,27,100.0
436,26,100.0
437,32,100.0
438,36,30.0
438,39,70.0
439,38,60.0
439,42,40.0
441,27,100.0
442,32,100.0
443,32,100.0
444,32,100.0
446,32,100.0
447,27,50.0
447,32,50.0
448,32,100.0
449,32,100.0
450,32,100.0
451,32,100.0
452,32,100.0
453,32,100.0
454,32,100.0
455,27,100.0
456,32,100.0
457,27,40.0
457,32,60.0
459,32,100.0
460,32,100.0
461,35,100.0
462,32,100.0
463,41,100.0
464,32,100.0
465,32,100.0
468,38,40.0
468,39,60.0
469,27,100.0
470,27,100.0
471,27,100.0
472,24,100.0
473,27,40.0
473,30,60.0
474,32,100.0
475,24,80.0
475,26,20.0
476,23,20.0
476,27,40.0
476,30,40.0
477,26,100.0
478,32,100.0
479,32,100.0
480,32,100.0
481,32,100.0
482,39,40.0
482,42,30.0
482,43,30.0
483,27,40.0
483,32,60.0
484,25,50.0
484,29,50.0
485,33,100.0
486,32,100.0
487,32,100.0
488,32,100.0
489,28,100.0
490,27,100.0
491,27,50.0
491,30,50.0
492,32,100.0
493,21,50.0
493,32,50.0
494,32,20.0
494,38,80.0
495,32,100.0
496,32,100.0
498,32,100.0
499,32,100.0
500,32,100.0
501,32,30.0
501,41,70.0
502,32,100.0
503,36,100.0
504,27,50.0
504,30,50.0
505,25,60.0
505,29,40.0
506,32,100.0
507,32,100.0
508,37,100.0
510,32,100.0
511,31,30.0
511,43,70.0
512,27,30.0
512,29,40.0
512,32,30.0
513,25,30.0
513,29,70.0
514,33,100.0
515,32,100.0
516,30,100.0
517,32,100.0
518,32,100.0
519,32,100.0
520,32,100.0
521,27,100.0
522,27,100.0
524,23,30.0
524,28,70.0
525,32,100.0
526,36,30.0
526,41,30.0
526,42,40.0
527,38,90.0
527,41,10.0
528,27,30.0
528,32,70.0
529,28,40.0
529,35,60.0
530,36,100.0
532,33,30.0
532,37,20.0
532,41,50.0
533,32,100.0
534,32,100.0
535,32,100.0
536,36,100.0
537,32,100.0
538,32,100.0
539,32,100.0
540,29,100.0
541,32,100.0
542,27,30.0
542,28,70.0
543,32,100.0
544,27,50.0
544,32,50.0
545,31,100.0
546,32,100.0
547,38,100.0
548,32,100.0
549,32,100.0
550,32,100.0
552,27,100.0
553,26,10.0
553,30,30.0
553,37,60.0
554,29,20.0
554,30,50.0
554,37,30.0
555,32,100.0
556,32,100.0
557,33,100.0
558,30,100.0
559,38,100.0
560,41,100.0
561,32,100.0
562,32,100.0
563,27,30.0
563,32,70.0
564,25,100.0
565,35,60.0
565,38,40.0
566,29,100.0
567,27,40.0
567,32,60.0
569,27,40.0
569,30,60.0
570,32,100.0
571,32,100.0
572,23,30.0
572,24,20.0
572,32,50.0
574,23,50.0
574,28,50.0
575,32,100.0
577,32,75.0
577,33,25.0
578,32,100.0
579,32,100.0
580,32,100.0
581,32,100.0
582,23,30.0
582,28,30.0
582,29,40.0
583,42,10.0
583,44,90.0
584,24,100.0
586,27,100.0
587,32,100.0
588,27,50.0
588,32,50.0
589,30,100.0
590,24,100.0
591,27,30.0
591,32,70.0
592,32,100.0
593,30,30.0
593,36,30.0
593,37,40.0
594,36,100.0
595,32,100.0
596,32,100.0
597,32,100.0
598,27,50.0
598,32,50.0
599,27,100.0
600,27,100.0
601,27,34.0
601,32,66.0
602,32,100.0
603,24,50.0
603,29,50.0
604,27,20.0
604,32,80.0
606,39,100.0
607,30,100.0
609,25,60.0
609,29,40.0
610,27,50.0
610,32,50.0
612,27,25.0
612,32,75.0
614,21,50.0
614,32,50.0
615,32,50.0
615,38,50.0
616,33,80.0
616,37,20.0
617,21,50.0
617,27,50.0
618,29,100.0
619,32,20.0
619,37,40.0
619,38,40.0
620,32,100.0
621,27,70.0
621,32,30.0
622,24,100.0
623,32,100.0
624,32,100.0
625,38,100.0
626,25,20.0
626,40,60.0
626,41,20.0
627,30,100.0
628,32,100.0
629,30,100.0
630,32,100.0
631,32,100.0
632,32,100.0
634,28,100.0
635,32,100.0
636,32,100.0
637,32,100.0
638,27,50.0
638,32,50.0
639,32,100.0
641,32,100.0
642,32,100.0
643,32,100.0
644,32,100.0
645,31,70.0
645,32,30.0
647,32,100.0
648,23,100.0
649,32,100.0
650,32,100.0
652,21,50.0
652,27,50.0
653,39,100.0
654,32,100.0
655,32,100.0
656,32,100.0
657,32,100.0
658,32,100.0
659,27,30.0
659,32,70.0
660,27,40.0
660,30,60.0
661,32,100.0
662,32,100.0
663,27,100.0
664,27,100.0
666,27,50.0
666,32,50.0
667,27,100.0
668,35,100.0
669,32,100.0
670,29,100.0
671,32,100.0
672,27,100.0
673,32,100.0
674,32,100.0
675,32,100.0
676,32,100.0
678,27,20.0
678,30,80.0
679,27,50.0
679,32,50.0
680,39,100.0
681,32,100.0
682,32,100.0
683,27,50.0
683,32,50.0
684,32,100.0
685,32,100.0
686,25,30.0
686,29,30.0
686,30,40.0
687,32,100.0
688,27,100.0
689,27,100.0
690,32,100.0
691,32,100.0
692,32,100.0
693,23,60.0
693,27,40.0
694,32,100.0
695,30,100.0
696,32,100.0
697,27,20.0
697,32,80.0
698,32,100.0
699,32,100.0
700,30,100.0
701,30,100.0
702,32,100.0
