date,Person.ID,Dept.No.,Faculty.No.,With.PHD,years_in_uni,Number.of.Successful.Grant,Number.of.Unsuccessful.Grant,A.,A,B,C
1/01/08,5232,2578.0,25.0,Yes ,4.0,3.0,1.0,7.0,6.0,6.0,4.0
1/01/08,77807,2578.0,25.0,Yes ,2.0,2.0,1.0,0.0,0.0,0.0,0.0
1/01/08,28797,2768.0,25.0,Yes ,1.0,6.0,13.0,0.0,0.0,0.0,1.0
1/01/08,714027,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
1/01/08,16452,nan,nan,,,0.0,0.0,1.0,8.0,13.0,8.0
1/01/08,22582,3198.0,31.0,Yes ,1.0,1.0,0.0,0.0,4.0,1.0,0.0
1/01/08,8062,3198.0,31.0,Yes ,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1/01/08,80982,nan,nan,,,0.0,0.0,1.0,8.0,3.0,2.0
1/01/08,70487,2853.0,25.0,,,2.0,4.0,2.0,8.0,5.0,10.0
1/01/08,73942,2728.0,25.0,Yes ,3.0,3.0,1.0,9.0,18.0,7.0,5.0
1/01/08,158617,2738.0,25.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1/01/08,78827,2498.0,25.0,Yes ,4.0,2.0,2.0,8.0,17.0,10.0,2.0
1/01/08,60517,1098.0,1.0,Yes ,2.0,2.0,5.0,1.0,18.0,3.0,0.0
1/01/08,107242,1098.0,1.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1/01/08,66887,2813.0,25.0,,0.0,5.0,15.0,0.0,9.0,2.0,0.0
1/01/08,497907,2578.0,25.0,Yes ,1.0,0.0,1.0,3.0,1.0,1.0,0.0
1/01/08,802167,2603.0,25.0,,1.0,2.0,4.0,1.0,0.0,0.0,0.0
1/01/08,63757,2553.0,25.0,Yes ,4.0,0.0,1.0,6.0,5.0,1.0,5.0
1/01/08,70647,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
1/01/08,16987,2653.0,25.0,,3.0,2.0,1.0,72.0,28.0,6.0,4.0
1/01/08,53202,3048.0,31.0,Yes ,2.0,2.0,2.0,17.0,4.0,2.0,3.0
1/01/08,68202,118.0,118.0,,0.0,2.0,0.0,3.0,4.0,6.0,4.0
3/01/08,874467,3198.0,31.0,,1.0,1.0,1.0,3.0,12.0,4.0,9.0
18/01/08,76352,2523.0,25.0,Yes ,3.0,1.0,0.0,14.0,22.0,13.0,2.0
18/01/08,79192,2523.0,25.0,Yes ,4.0,5.0,12.0,0.0,0.0,0.0,0.0
18/01/08,730127,2678.0,25.0,,,1.0,5.0,0.0,0.0,0.0,0.0
22/01/08,938937,2813.0,25.0,Yes ,1.0,1.0,0.0,0.0,1.0,1.0,1.0
22/01/08,101532,2538.0,25.0,,1.0,2.0,7.0,0.0,0.0,0.0,0.0
29/01/08,63047,nan,nan,,,0.0,0.0,4.0,4.0,7.0,4.0
29/01/08,69517,1258.0,34.0,Yes ,4.0,2.0,3.0,10.0,6.0,16.0,61.0
29/01/08,11837,1033.0,1.0,Yes ,3.0,0.0,2.0,0.0,1.0,5.0,6.0
29/01/08,357,2853.0,25.0,Yes ,3.0,0.0,0.0,2.0,10.0,8.0,10.0
30/01/08,29807,1258.0,34.0,Yes ,2.0,1.0,0.0,0.0,3.0,3.0,0.0
30/01/08,64727,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
1/02/08,14562,2763.0,25.0,,4.0,1.0,0.0,4.0,3.0,5.0,1.0
1/02/08,6192,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
1/02/08,11322,1798.0,118.0,Yes ,1.0,0.0,0.0,0.0,4.0,1.0,2.0
1/02/08,4102,2948.0,25.0,Yes ,4.0,0.0,4.0,9.0,16.0,11.0,4.0
4/02/08,79802,3028.0,31.0,Yes ,4.0,3.0,2.0,4.0,20.0,17.0,5.0
6/02/08,67647,2678.0,25.0,Yes ,3.0,5.0,11.0,16.0,18.0,11.0,5.0
6/02/08,730127,2678.0,25.0,,,1.0,5.0,0.0,0.0,0.0,0.0
6/02/08,93802,2563.0,25.0,Yes ,1.0,1.0,5.0,0.0,1.0,8.0,20.0
7/02/08,7747,2518.0,25.0,Yes ,2.0,0.0,3.0,1.0,3.0,1.0,1.0
7/02/08,755517,2538.0,25.0,Yes ,1.0,1.0,4.0,3.0,2.0,1.0,2.0
7/02/08,69032,2538.0,25.0,Yes ,2.0,5.0,7.0,0.0,0.0,0.0,0.0
7/02/08,449137,2538.0,25.0,Yes ,1.0,1.0,4.0,4.0,2.0,1.0,1.0
11/02/08,16137,2653.0,25.0,,3.0,3.0,17.0,6.0,6.0,2.0,0.0
11/02/08,801752,2653.0,25.0,,1.0,2.0,2.0,1.0,0.0,0.0,0.0
11/02/08,16137,2653.0,25.0,,3.0,3.0,17.0,0.0,0.0,0.0,0.0
11/02/08,11322,1798.0,118.0,Yes ,1.0,2.0,0.0,0.0,4.0,1.0,2.0
12/02/08,77987,2498.0,25.0,,2.0,0.0,4.0,2.0,3.0,2.0,1.0
14/02/08,78992,2763.0,25.0,Yes ,4.0,3.0,4.0,9.0,22.0,7.0,9.0
14/02/08,28607,2763.0,25.0,Yes ,2.0,3.0,2.0,6.0,25.0,14.0,14.0
14/02/08,79217,2828.0,25.0,,0.0,2.0,4.0,0.0,0.0,0.0,0.0
14/02/08,74567,2813.0,25.0,,3.0,1.0,0.0,7.0,25.0,37.0,24.0
21/02/08,45012,2103.0,19.0,Yes ,1.0,0.0,0.0,0.0,0.0,1.0,2.0
21/02/08,125287,2103.0,19.0,Yes ,1.0,1.0,2.0,0.0,0.0,0.0,0.0
28/02/08,69732,2153.0,19.0,Yes ,4.0,4.0,2.0,3.0,41.0,4.0,0.0
28/02/08,607102,3048.0,31.0,,,1.0,1.0,7.0,2.0,1.0,0.0
1/03/08,82312,2298.0,46.0,,,0.0,1.0,0.0,1.0,1.0,2.0
1/03/08,289542,2883.0,25.0,Yes ,1.0,1.0,3.0,0.0,2.0,3.0,0.0
1/03/08,492967,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
1/03/08,137552,nan,nan,,,0.0,0.0,0.0,0.0,4.0,2.0
1/03/08,23342,2883.0,25.0,Yes ,2.0,3.0,1.0,6.0,2.0,17.0,12.0
1/03/08,23182,nan,nan,,,0.0,0.0,0.0,0.0,4.0,4.0
1/03/08,44252,2813.0,25.0,Yes ,2.0,2.0,2.0,5.0,4.0,2.0,0.0
1/03/08,73352,2813.0,25.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1/03/08,19602,2813.0,25.0,,4.0,2.0,0.0,8.0,13.0,11.0,7.0
3/03/08,87202,653.0,7.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3/03/08,80477,3268.0,31.0,Yes ,4.0,1.0,0.0,0.0,6.0,5.0,7.0
3/03/08,60517,1098.0,1.0,Yes ,2.0,2.0,5.0,1.0,18.0,3.0,0.0
3/03/08,30977,3028.0,31.0,,1.0,3.0,0.0,0.0,0.0,0.0,0.0
3/03/08,48902,2053.0,19.0,Yes ,2.0,0.0,0.0,8.0,0.0,12.0,0.0
3/03/08,64517,2053.0,19.0,Yes ,4.0,2.0,1.0,0.0,0.0,0.0,0.0
3/03/08,13812,2178.0,19.0,Yes ,2.0,1.0,2.0,2.0,1.0,7.0,0.0
3/03/08,75572,2178.0,19.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3/03/08,11837,1033.0,1.0,Yes ,3.0,0.0,3.0,0.0,1.0,5.0,6.0
3/03/08,68732,2523.0,25.0,Yes ,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3/03/08,67447,3028.0,31.0,Yes ,2.0,1.0,0.0,16.0,14.0,9.0,6.0
3/03/08,63772,828.0,7.0,Yes ,3.0,2.0,1.0,11.0,3.0,1.0,12.0
3/03/08,14187,498.0,7.0,Yes ,4.0,2.0,0.0,0.0,0.0,1.0,0.0
3/03/08,13682,1258.0,34.0,Yes ,2.0,2.0,5.0,1.0,21.0,3.0,2.0
3/03/08,2232,2653.0,25.0,,0.0,0.0,3.0,0.0,0.0,2.0,0.0
3/03/08,20122,2523.0,25.0,Yes ,1.0,3.0,6.0,1.0,12.0,6.0,6.0
3/03/08,95892,2523.0,25.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3/03/08,63562,2523.0,25.0,,1.0,3.0,3.0,0.0,7.0,13.0,8.0
31/03/08,1737,2533.0,25.0,Yes ,2.0,3.0,4.0,10.0,26.0,15.0,14.0
31/03/08,32467,2533.0,25.0,Yes ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31/03/08,86282,2533.0,25.0,,2.0,0.0,0.0,2.0,8.0,1.0,3.0
31/03/08,74987,nan,nan,,,0.0,0.0,3.0,11.0,2.0,2.0
31/03/08,74527,nan,25.0,Yes ,3.0,0.0,1.0,24.0,86.0,42.0,32.0
31/03/08,69517,1258.0,34.0,Yes ,4.0,3.0,4.0,10.0,6.0,16.0,61.0
31/03/08,132247,1998.0,19.0,,1.0,0.0,5.0,10.0,16.0,5.0,0.0
1/04/08,30707,2253.0,19.0,Yes ,2.0,1.0,2.0,0.0,3.0,14.0,4.0
2/04/08,13192,2668.0,25.0,Yes ,3.0,1.0,1.0,5.0,2.0,2.0,1.0
2/04/08,113192,3508.0,4.0,Yes ,1.0,1.0,1.0,2.0,1.0,0.0,1.0
3/04/08,498427,2668.0,25.0,Yes ,1.0,3.0,10.0,3.0,9.0,8.0,0.0
4/04/08,700027,998.0,1.0,Yes ,1.0,1.0,1.0,0.0,0.0,1.0,1.0
7/04/08,68252,528.0,7.0,Yes ,4.0,0.0,6.0,2.0,2.0,1.0,1.0
7/04/08,143992,2163.0,19.0,Yes ,1.0,4.0,3.0,3.0,2.0,3.0,1.0
7/04/08,500447,1678.0,13.0,,,1.0,3.0,2.0,0.0,8.0,1.0
8/04/08,22847,2053.0,19.0,Yes ,2.0,6.0,1.0,10.0,6.0,5.0,0.0
8/04/08,6562,2053.0,19.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8/04/08,362,2548.0,25.0,Yes ,3.0,0.0,0.0,0.0,0.0,0.0,1.0
8/04/08,16582,2548.0,25.0,,0.0,0.0,1.0,0.0,3.0,7.0,4.0
9/04/08,36242,2713.0,25.0,Yes ,2.0,1.0,2.0,2.0,2.0,0.0,0.0
9/04/08,79022,2713.0,25.0,,4.0,3.0,8.0,0.0,0.0,0.0,0.0
9/04/08,16632,2973.0,25.0,Yes ,2.0,1.0,3.0,10.0,10.0,1.0,2.0
9/04/08,72222,2973.0,25.0,,4.0,0.0,2.0,0.0,0.0,0.0,0.0
9/04/08,64277,2973.0,25.0,Yes ,4.0,0.0,1.0,25.0,16.0,12.0,6.0
10/04/08,49592,2103.0,19.0,Yes ,2.0,0.0,0.0,0.0,0.0,2.0,1.0
11/04/08,918527,nan,nan,,,0.0,0.0,0.0,2.0,2.0,4.0
11/04/08,18732,3073.0,31.0,Yes ,2.0,0.0,1.0,0.0,0.0,1.0,1.0
11/04/08,73862,2298.0,46.0,Yes ,2.0,0.0,0.0,1.0,2.0,6.0,4.0
11/04/08,104862,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
11/04/08,863682,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
14/04/08,381382,2923.0,25.0,Yes ,1.0,0.0,1.0,0.0,0.0,3.0,3.0
16/04/08,22792,3508.0,4.0,Yes ,2.0,1.0,5.0,0.0,2.0,0.0,1.0
21/04/08,408232,1428.0,34.0,Yes ,1.0,1.0,4.0,0.0,0.0,0.0,0.0
21/04/08,66607,1258.0,34.0,,4.0,1.0,0.0,0.0,0.0,0.0,0.0
21/04/08,684937,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
21/04/08,870747,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
21/04/08,953102,2653.0,25.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
21/04/08,73422,2713.0,25.0,Yes ,3.0,3.0,4.0,9.0,12.0,9.0,8.0
22/04/08,69732,2153.0,19.0,Yes ,4.0,4.0,3.0,3.0,41.0,4.0,0.0
22/04/08,64867,3268.0,31.0,Yes ,4.0,5.0,4.0,7.0,39.0,11.0,6.0
22/04/08,7862,2523.0,25.0,Yes ,2.0,1.0,1.0,4.0,8.0,10.0,8.0
22/04/08,80037,3098.0,31.0,Yes ,4.0,3.0,2.0,2.0,9.0,6.0,1.0
22/04/08,89472,3048.0,31.0,Yes ,1.0,9.0,1.0,21.0,3.0,4.0,0.0
28/04/08,21132,2568.0,25.0,Yes ,2.0,2.0,0.0,22.0,25.0,11.0,15.0
28/04/08,17707,2568.0,25.0,Yes ,2.0,0.0,4.0,0.0,0.0,0.0,0.0
28/04/08,748607,2813.0,25.0,,1.0,0.0,0.0,0.0,2.0,0.0,2.0
28/04/08,104107,nan,nan,,,0.0,0.0,0.0,0.0,0.0,0.0
30/04/08,84622,2973.0,25.0,,2.0,3.0,12.0,16.0,16.0,7.0,7.0
30/04/08,22792,3508.0,4.0,Yes ,2.0,1.0,6.0,0.0,2.0,0.0,1.0
30/04/08,16987,2653.0,25.0,,3.0,3.0,1.0,72.0,28.0,6.0,4.0
30/04/08,74827,2768.0,25.0,Yes ,3.0,0.0,2.0,24.0,46.0,22.0,6.0
30/04/08,64777,2813.0,25.0,,4.0,1.0,11.0,0.0,0.0,0.0,0.0
1/05/08,39807,2628.0,25.0,Yes ,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1/05/08,713112,2578.0,25.0,,1.0,0.0,3.0,0.0,0.0,0.0,0.0
1/05/08,75992,2893.0,25.0,Yes ,2.0,2.0,2.0,1.0,10.0,2.0,0.0
1/05/08,25117,2763.0,25.0,Yes ,0.0,2.0,1.0,3.0,15.0,3.0,5.0
1/05/08,9107,2523.0,25.0,Yes ,2.0,4.0,1.0,3.0,8.0,21.0,15.0
1/05/08,30527,2523.0,25.0,Yes ,2.0,4.0,1.0,0.0,0.0,0.0,0.0
1/05/08,32437,2653.0,25.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0
1/05/08,803052,2653.0,25.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1/05/08,72037,2713.0,25.0,Yes ,2.0,5.0,9.0,9.0,6.0,7.0,0.0
1/05/08,8732,2713.0,25.0,Yes ,3.0,2.0,4.0,2.0,5.0,2.0,0.0
1/05/08,7512,2538.0,25.0,Yes ,0.0,0.0,4.0,1.0,5.0,2.0,1.0
1/05/08,106282,2628.0,25.0,Yes ,1.0,1.0,4.0,9.0,4.0,5.0,2.0
1/05/08,26667,2768.0,25.0,Yes ,1.0,0.0,1.0,2.0,8.0,2.0,0.0
1/05/08,148087,2653.0,25.0,,1.0,2.0,6.0,8.0,3.0,0.0,0.0
1/05/08,20937,2763.0,25.0,Yes ,2.0,0.0,9.0,4.0,7.0,2.0,0.0
1/05/08,89627,2653.0,25.0,Yes ,1.0,1.0,4.0,2.0,3.0,2.0,0.0
1/05/08,132927,2523.0,25.0,Yes ,1.0,2.0,1.0,6.0,12.0,2.0,1.0
1/05/08,127397,2713.0,25.0,,,0.0,4.0,1.0,1.0,2.0,0.0
2/05/08,65712,2523.0,25.0,,4.0,2.0,6.0,3.0,3.0,8.0,11.0
2/05/08,301472,2533.0,25.0,Yes ,1.0,7.0,5.0,0.0,0.0,0.0,0.0
5/05/08,36402,nan,nan,,,0.0,0.0,0.0,1.0,0.0,0.0
5/05/08,67152,2553.0,25.0,Yes ,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7/05/08,144267,2763.0,25.0,Yes ,1.0,0.0,5.0,0.0,0.0,0.0,0.0
12/05/08,1737,2533.0,25.0,Yes ,2.0,4.0,4.0,10.0,26.0,15.0,14.0
12/05/08,101532,2538.0,25.0,,1.0,3.0,7.0,2.0,8.0,7.0,1.0
12/05/08,76352,2523.0,25.0,Yes ,3.0,1.0,1.0,14.0,22.0,13.0,2.0
12/05/08,78922,2578.0,25.0,,1.0,2.0,1.0,0.0,15.0,6.0,1.0
12/05/08,24627,2768.0,25.0,,2.0,0.0,2.0,0.0,3.0,2.0,0.0
12/05/08,7862,2523.0,25.0,Yes ,2.0,1.0,2.0,4.0,8.0,10.0,8.0
12/05/08,941027,1033.0,1.0,Yes ,1.0,1.0,0.0,0.0,8.0,9.0,1.0
12/05/08,3182,2523.0,25.0,Yes ,3.0,4.0,2.0,2.0,7.0,27.0,34.0
19/05/08,76757,2153.0,19.0,Yes ,1.0,1.0,0.0,3.0,2.0,0.0,0.0
19/05/08,70227,2538.0,25.0,Yes ,2.0,1.0,4.0,0.0,0.0,0.0,0.0
19/05/08,34127,2523.0,25.0,Yes ,1.0,1.0,0.0,1.0,1.0,0.0,0.0
19/05/08,113192,3508.0,4.0,Yes ,1.0,2.0,1.0,2.0,1.0,0.0,1.0
20/05/08,415187,2813.0,25.0,,1.0,0.0,2.0,0.0,0.0,0.0,0.0
20/05/08,69812,2813.0,25.0,,2.0,4.0,11.0,0.0,0.0,0.0,0.0
21/05/08,111192,1098.0,1.0,Yes ,1.0,0.0,7.0,3.0,23.0,15.0,13.0
21/05/08,66007,3268.0,31.0,Yes ,4.0,2.0,0.0,2.0,26.0,13.0,2.0
